response,reaction_time,block,which_phase,stim,go_nogo_type,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
1,388.0,1,phase_2,purple_circle,go2,1,,,,,,
1,400.0,1,phase_2,purple_circle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo2,4,,,,,,
1,381.0,1,phase_2,purple_circle,go2,1,,,,,,
1,314.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,red_triangle,nogo1,4,,,,,,
1,374.0,1,phase_2,purple_circle,go2,1,,,,,,
1,341.0,1,phase_2,purple_circle,go2,1,,,,,,
1,512.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,red_triangle,nogo1,4,,,,,,
1,356.0,1,phase_2,purple_circle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo2,4,,,,,,
1,358.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,404.0,1,phase_2,purple_circle,go2,1,,,,,,
0,0,1,phase_2,red_triangle,nogo1,4,,,,,,
1,372.0,1,phase_2,green_rhombus,nogo2,2,,,,,,
0,0,1,phase_2,green_rhombus,nogo2,4,,,,,,
1,364.0,1,phase_2,purple_circle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo2,4,,,,,,
0,0,1,phase_2,red_triangle,nogo1,4,,,,,,
0,0,1,phase_2,green_rhombus,nogo2,4,,,,,,
1,370.0,1,phase_2,purple_circle,go2,1,,,,,,
0,0,1,phase_2,red_triangle,nogo1,4,,,,,,
1,395.0,1,phase_2,purple_circle,go2,1,,,,,,
1,507.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,396.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,red_triangle,nogo1,4,,,,,,
0,0,1,phase_2,red_triangle,nogo1,4,,,,,,
1,333.0,1,phase_2,purple_circle,go2,1,,,,,,
1,367.0,1,phase_2,purple_circle,go2,1,,,,,,
1,480.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,414.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,382.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,352.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo2,4,,,,,,
1,445.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,red_triangle,nogo1,4,,,,,,
0,0,1,phase_2,green_rhombus,nogo2,4,,,,,,
1,453.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,454.0,1,phase_2,purple_circle,go2,1,,,,,,
1,445.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,424.0,1,phase_2,purple_circle,go2,1,,,,,,
1,416.0,1,phase_2,purple_circle,go2,1,,,,,,
1,441.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,433.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,412.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,413.0,1,phase_2,purple_circle,go2,1,,,,,,
1,359.0,1,phase_2,blue_pentagon,go1,1,,,,,,
