response,reaction_time,block,which_phase,stim,go_nogo_type,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
0,0,1,phase_2,blue_rhombus,nogo2,4,,,,,,
1,444.0,1,phase_2,green_pentagon,go1,1,,,,,,
1,412.0,1,phase_2,green_pentagon,go1,1,,,,,,
1,256.0,1,phase_2,green_pentagon,go1,1,,,,,,
1,268.0,1,phase_2,red_circle,go2,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo1,4,,,,,,
1,451.0,1,phase_2,green_pentagon,go1,1,,,,,,
1,149.0,1,phase_2,green_pentagon,go1,1,,,,,,
1,352.0,1,phase_2,green_pentagon,go1,1,,,,,,
0,0,1,phase_2,blue_rhombus,nogo2,4,,,,,,
1,454.0,1,phase_2,red_circle,go2,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo1,4,,,,,,
1,322.0,1,phase_2,red_circle,go2,1,,,,,,
0,0,1,phase_2,blue_rhombus,nogo2,4,,,,,,
1,257.0,1,phase_2,purple_triangle,nogo1,2,,,,,,
1,381.0,1,phase_2,red_circle,go2,1,,,,,,
1,449.0,1,phase_2,red_circle,go2,1,,,,,,
1,451.0,1,phase_2,green_pentagon,go1,1,,,,,,
1,463.0,1,phase_2,red_circle,go2,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo1,4,,,,,,
1,465.0,1,phase_2,green_pentagon,go1,1,,,,,,
1,344.0,1,phase_2,red_circle,go2,1,,,,,,
1,435.0,1,phase_2,green_pentagon,go1,1,,,,,,
0,0,1,phase_2,blue_rhombus,nogo2,4,,,,,,
1,392.0,1,phase_2,red_circle,go2,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo1,4,,,,,,
0,0,1,phase_2,blue_rhombus,nogo2,4,,,,,,
1,293.0,1,phase_2,red_circle,go2,1,,,,,,
1,474.0,1,phase_2,green_pentagon,go1,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo1,4,,,,,,
1,408.0,1,phase_2,green_pentagon,go1,1,,,,,,
1,467.0,1,phase_2,green_pentagon,go1,1,,,,,,
