response,reaction_time,block,which_phase,stim,go_nogo_type,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
1,331.0,1,phase_2,green_triangle,nogo1,2,,,,,,
0,0,1,phase_2,red_rhombus,nogo2,4,,,,,,
0,0,1,phase_2,red_rhombus,nogo2,4,,,,,,
1,346.0,1,phase_2,blue_circle,go2,1,,,,,,
1,494.0,1,phase_2,blue_circle,go2,1,,,,,,
1,440.0,1,phase_2,blue_circle,go2,1,,,,,,
1,385.0,1,phase_2,blue_circle,go2,1,,,,,,
0,0,1,phase_2,green_triangle,nogo1,4,,,,,,
1,445.0,1,phase_2,purple_pentagon,go1,1,,,,,,
0,0,1,phase_2,green_triangle,nogo1,4,,,,,,
1,447.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,448.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,428.0,1,phase_2,blue_circle,go2,1,,,,,,
1,383.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,340.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,441.0,1,phase_2,blue_circle,go2,1,,,,,,
1,386.0,1,phase_2,blue_circle,go2,1,,,,,,
1,344.0,1,phase_2,blue_circle,go2,1,,,,,,
1,276.0,1,phase_2,blue_circle,go2,1,,,,,,
0,0,1,phase_2,red_rhombus,nogo2,4,,,,,,
0,0,1,phase_2,green_triangle,nogo1,4,,,,,,
1,418.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,464.0,1,phase_2,blue_circle,go2,1,,,,,,
0,0,1,phase_2,red_rhombus,nogo2,4,,,,,,
1,419.0,1,phase_2,blue_circle,go2,1,,,,,,
1,375.0,1,phase_2,blue_circle,go2,1,,,,,,
1,410.0,1,phase_2,purple_pentagon,go1,1,,,,,,
0,0,1,phase_2,green_triangle,nogo1,4,,,,,,
0,0,1,phase_2,red_rhombus,nogo2,4,,,,,,
1,470.0,1,phase_2,purple_pentagon,go1,1,,,,,,
0,0,1,phase_2,red_rhombus,nogo2,4,,,,,,
0,0,1,phase_2,red_rhombus,nogo2,4,,,,,,
1,497.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,498.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,455.0,1,phase_2,blue_circle,go2,1,,,,,,
1,535.0,1,phase_2,purple_pentagon,go1,1,,,,,,
0,0,1,phase_2,green_triangle,nogo1,4,,,,,,
0,0,1,phase_2,red_rhombus,nogo2,4,,,,,,
0,0,1,phase_2,green_triangle,nogo1,4,,,,,,
1,452.0,1,phase_2,blue_circle,go2,1,,,,,,
1,531.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,444.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,399.0,1,phase_2,blue_circle,go2,1,,,,,,
0,0,1,phase_2,green_triangle,nogo1,4,,,,,,
1,481.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,393.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,450.0,1,phase_2,blue_circle,go2,1,,,,,,
1,395.0,1,phase_2,purple_pentagon,go1,1,,,,,,
1,352.0,2,phase_2,blue_circle,go2,1,,,,,,
1,410.0,2,phase_2,purple_pentagon,go1,1,,,,,,
0,0,2,phase_2,red_rhombus,nogo2,4,,,,,,
1,436.0,2,phase_2,blue_circle,go2,1,,,,,,
1,324.0,2,phase_2,blue_circle,go2,1,,,,,,
1,303.0,2,phase_2,green_triangle,nogo1,2,,,,,,
0,0,2,phase_2,red_rhombus,nogo2,4,,,,,,
1,409.0,2,phase_2,purple_pentagon,go1,1,,,,,,
0,0,2,phase_2,green_triangle,nogo1,4,,,,,,
1,548.0,2,phase_2,purple_pentagon,go1,1,,,,,,
1,414.0,2,phase_2,blue_circle,go2,1,,,,,,
1,484.0,2,phase_2,purple_pentagon,go1,1,,,,,,
