response,reaction_time,block,which_phase,stim,go_nogo_type,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
1,454.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,389.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,368.0,1,phase_2,red_circle,nogo1,2,,,,,,
1,506.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,653.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,519.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,498.0,1,phase_2,green_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo2,4,,,,,,
1,446.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,537.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,460.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,451.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,486.0,1,phase_2,green_rhombus,go2,1,,,,,,
0,0,1,phase_2,red_circle,nogo1,4,,,,,,
1,442.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,488.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,422.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,434.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,448.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,618.0,1,phase_2,green_rhombus,go2,1,,,,,,
0,0,1,phase_2,red_circle,nogo1,4,,,,,,
0,0,1,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,1,phase_2,purple_triangle,nogo2,4,,,,,,
1,578.0,1,phase_2,green_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,1,phase_2,red_circle,nogo1,4,,,,,,
0,0,1,phase_2,purple_triangle,nogo2,4,,,,,,
1,426.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,540.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,red_circle,nogo1,4,,,,,,
1,419.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,476.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,red_circle,nogo1,4,,,,,,
1,379.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,458.0,1,phase_2,green_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo2,4,,,,,,
1,472.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,416.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,450.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,362.0,1,phase_2,green_rhombus,go2,1,,,,,,
1,386.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,354.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,1,phase_2,red_circle,nogo1,4,,,,,,
1,371.0,1,phase_2,blue_pentagon,go1,1,,,,,,
1,351.0,1,phase_2,blue_pentagon,go1,1,,,,,,
0,0,1,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,1,phase_2,red_circle,nogo1,4,,,,,,
1,610.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,318.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,342.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,387.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,289.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,356.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,314.0,2,phase_2,blue_pentagon,go1,1,,,,,,
0,0,2,phase_2,red_circle,nogo1,4,,,,,,
0,0,2,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,2,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,2,phase_2,red_circle,nogo1,4,,,,,,
0,0,2,phase_2,red_circle,nogo1,4,,,,,,
0,0,2,phase_2,red_circle,nogo1,4,,,,,,
1,345.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,347.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,360.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,294.0,2,phase_2,green_rhombus,go2,1,,,,,,
0,0,2,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,2,phase_2,purple_triangle,nogo2,4,,,,,,
1,321.0,2,phase_2,blue_pentagon,go1,1,,,,,,
0,0,2,phase_2,purple_triangle,nogo2,4,,,,,,
1,380.0,2,phase_2,blue_pentagon,go1,1,,,,,,
0,0,2,phase_2,red_circle,nogo1,4,,,,,,
1,395.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,349.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,350.0,2,phase_2,blue_pentagon,go1,1,,,,,,
0,0,2,phase_2,red_circle,nogo1,4,,,,,,
0,0,2,phase_2,purple_triangle,nogo2,4,,,,,,
1,401.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,391.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,380.0,2,phase_2,blue_pentagon,go1,1,,,,,,
0,0,2,phase_2,red_circle,nogo1,4,,,,,,
1,407.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,296.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,264.0,2,phase_2,purple_triangle,nogo2,2,,,,,,
1,378.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,392.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,370.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,362.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,295.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,366.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,367.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,302.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,359.0,2,phase_2,blue_pentagon,go1,1,,,,,,
1,440.0,2,phase_2,green_rhombus,go2,1,,,,,,
1,351.0,2,phase_2,green_rhombus,go2,1,,,,,,
0,0,2,phase_2,red_circle,nogo1,4,,,,,,
0,0,2,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,3,phase_2,purple_triangle,nogo2,4,,,,,,
1,342.0,3,phase_2,green_rhombus,go2,1,,,,,,
1,287.0,3,phase_2,green_rhombus,go2,1,,,,,,
1,301.0,3,phase_2,blue_pentagon,go1,1,,,,,,
0,0,3,phase_2,red_circle,nogo1,4,,,,,,
1,328.0,3,phase_2,blue_pentagon,go1,1,,,,,,
0,0,3,phase_2,red_circle,nogo1,4,,,,,,
0,0,3,phase_2,red_circle,nogo1,4,,,,,,
1,333.0,3,phase_2,blue_pentagon,go1,1,,,,,,
1,290.0,3,phase_2,blue_pentagon,go1,1,,,,,,
1,304.0,3,phase_2,blue_pentagon,go1,1,,,,,,
1,361.0,3,phase_2,green_rhombus,go2,1,,,,,,
0,0,3,phase_2,blue_pentagon,go1,5,,,,,,
1,343.0,3,phase_2,blue_pentagon,go1,1,,,,,,
1,366.0,3,phase_2,green_rhombus,go2,1,,,,,,
1,333.0,3,phase_2,blue_pentagon,go1,1,,,,,,
1,324.0,3,phase_2,blue_pentagon,go1,1,,,,,,
1,303.0,3,phase_2,blue_pentagon,go1,1,,,,,,
1,349.0,3,phase_2,green_rhombus,go2,1,,,,,,
0,0,3,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,3,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,3,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,3,phase_2,red_circle,nogo1,4,,,,,,
1,422.0,3,phase_2,green_rhombus,go2,1,,,,,,
0,0,3,phase_2,purple_triangle,nogo2,4,,,,,,
1,405.0,3,phase_2,green_rhombus,go2,1,,,,,,
1,339.0,3,phase_2,blue_pentagon,go1,1,,,,,,
0,0,3,phase_2,red_circle,nogo1,4,,,,,,
0,0,3,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,3,phase_2,purple_triangle,nogo2,4,,,,,,
0,0,3,phase_2,red_circle,nogo1,4,,,,,,
0,0,3,phase_2,red_circle,nogo1,4,,,,,,
1,441.0,3,phase_2,blue_pentagon,go1,1,,,,,,
1,422.0,3,phase_2,green_rhombus,go2,1,,,,,,
