response,reaction_time,block,which_phase,stim,go_nogo_type,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
0,0,1,phase_2,blue_pentagon,nogo2,4,,,,,,
1,411.0,1,phase_2,green_triangle,go1,1,,,,,,
1,413.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,314.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,507.0,1,phase_2,green_triangle,go1,1,,,,,,
1,611.0,1,phase_2,red_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_circle,nogo1,4,,,,,,
1,354.0,1,phase_2,red_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_circle,nogo1,4,,,,,,
0,0,1,phase_2,blue_pentagon,nogo2,4,,,,,,
1,313.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,414.0,1,phase_2,green_triangle,go1,1,,,,,,
1,381.0,1,phase_2,green_triangle,go1,1,,,,,,
0,0,1,phase_2,blue_pentagon,nogo2,4,,,,,,
1,531.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,442.0,1,phase_2,green_triangle,go1,1,,,,,,
1,240.0,1,phase_2,green_triangle,go1,1,,,,,,
1,434.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,379.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,403.0,1,phase_2,red_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_circle,nogo1,4,,,,,,
1,485.0,1,phase_2,green_triangle,go1,1,,,,,,
1,476.0,1,phase_2,red_rhombus,go2,1,,,,,,
0,0,1,phase_2,blue_pentagon,nogo2,4,,,,,,
1,648.0,1,phase_2,green_triangle,go1,1,,,,,,
0,0,1,phase_2,blue_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,purple_circle,nogo1,4,,,,,,
0,0,1,phase_2,purple_circle,nogo1,4,,,,,,
0,0,1,phase_2,red_rhombus,go2,5,,,,,,
1,326.0,1,phase_2,red_rhombus,go2,1,,,,,,
0,0,1,phase_2,blue_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,purple_circle,nogo1,4,,,,,,
1,500.0,1,phase_2,red_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_circle,nogo1,4,,,,,,
0,0,1,phase_2,blue_pentagon,nogo2,4,,,,,,
1,481.0,1,phase_2,green_triangle,go1,1,,,,,,
1,371.0,1,phase_2,green_triangle,go1,1,,,,,,
1,339.0,1,phase_2,green_triangle,go1,1,,,,,,
1,341.0,1,phase_2,green_triangle,go1,1,,,,,,
1,342.0,1,phase_2,green_triangle,go1,1,,,,,,
0,0,1,phase_2,purple_circle,nogo1,4,,,,,,
1,411.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,503.0,1,phase_2,green_triangle,go1,1,,,,,,
1,404.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,372.0,1,phase_2,green_triangle,go1,1,,,,,,
0,0,1,phase_2,blue_pentagon,nogo2,4,,,,,,
1,331.0,1,phase_2,green_triangle,go1,1,,,,,,
1,344.0,1,phase_2,red_rhombus,go2,1,,,,,,
1,498.0,2,phase_2,green_triangle,go1,1,,,,,,
0,0,2,phase_2,blue_pentagon,nogo2,4,,,,,,
1,378.0,2,phase_2,green_triangle,go1,1,,,,,,
0,0,2,phase_2,blue_pentagon,nogo2,4,,,,,,
1,360.0,2,phase_2,green_triangle,go1,1,,,,,,
1,373.0,2,phase_2,red_rhombus,go2,1,,,,,,
0,0,2,phase_2,blue_pentagon,nogo2,4,,,,,,
1,286.0,2,phase_2,red_rhombus,go2,1,,,,,,
1,492.0,2,phase_2,green_triangle,go1,1,,,,,,
