response,reaction_time,block,which_phase,stim,go_nogo_type,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
1,622.0,1,phase_2,blue_circle,go1,1,,,,,,
1,297.0,1,phase_2,red_triangle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,435.0,1,phase_2,red_triangle,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,355.0,1,phase_2,red_triangle,go2,1,,,,,,
1,422.0,1,phase_2,red_triangle,go2,1,,,,,,
1,357.0,1,phase_2,blue_circle,go1,1,,,,,,
1,482.0,1,phase_2,red_triangle,go2,1,,,,,,
1,327.0,1,phase_2,blue_circle,go1,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,432.0,1,phase_2,blue_circle,go1,1,,,,,,
1,320.0,1,phase_2,red_triangle,go2,1,,,,,,
1,346.0,1,phase_2,blue_circle,go1,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,394.0,1,phase_2,blue_circle,go1,1,,,,,,
1,341.0,1,phase_2,red_triangle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,391.0,1,phase_2,blue_circle,go1,1,,,,,,
1,367.0,1,phase_2,red_triangle,go2,1,,,,,,
1,312.0,1,phase_2,red_triangle,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,339.0,1,phase_2,red_triangle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,408.0,1,phase_2,blue_circle,go1,1,,,,,,
1,331.0,1,phase_2,red_triangle,go2,1,,,,,,
1,355.0,1,phase_2,red_triangle,go2,1,,,,,,
1,379.0,1,phase_2,blue_circle,go1,1,,,,,,
1,346.0,1,phase_2,blue_circle,go1,1,,,,,,
1,425.0,1,phase_2,blue_circle,go1,1,,,,,,
1,359.0,1,phase_2,green_rhombus,nogo1,2,,,,,,
1,349.0,1,phase_2,red_triangle,go2,1,,,,,,
1,316.0,1,phase_2,blue_circle,go1,1,,,,,,
1,329.0,1,phase_2,red_triangle,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,412.0,1,phase_2,blue_circle,go1,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,311.0,1,phase_2,blue_circle,go1,1,,,,,,
1,404.0,1,phase_2,blue_circle,go1,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,341.0,1,phase_2,red_triangle,go2,1,,,,,,
1,319.0,1,phase_2,red_triangle,go2,1,,,,,,
1,422.0,1,phase_2,blue_circle,go1,1,,,,,,
1,352.0,2,phase_2,blue_circle,go1,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
1,332.0,2,phase_2,red_triangle,go2,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
1,314.0,2,phase_2,red_triangle,go2,1,,,,,,
1,314.0,2,phase_2,blue_circle,go1,1,,,,,,
1,328.0,2,phase_2,red_triangle,go2,1,,,,,,
1,362.0,2,phase_2,blue_circle,go1,1,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
1,355.0,2,phase_2,red_triangle,go2,1,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
1,392.0,2,phase_2,red_triangle,go2,1,,,,,,
1,302.0,2,phase_2,blue_circle,go1,1,,,,,,
1,326.0,2,phase_2,blue_circle,go1,1,,,,,,
1,327.0,2,phase_2,red_triangle,go2,1,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
1,320.0,2,phase_2,blue_circle,go1,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
1,314.0,2,phase_2,blue_circle,go1,1,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
1,320.0,2,phase_2,red_triangle,go2,1,,,,,,
1,343.0,2,phase_2,red_triangle,go2,1,,,,,,
1,298.0,2,phase_2,red_triangle,go2,1,,,,,,
1,458.0,2,phase_2,blue_circle,go1,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
1,375.0,2,phase_2,blue_circle,go1,1,,,,,,
1,422.0,2,phase_2,blue_circle,go1,1,,,,,,
1,324.0,2,phase_2,red_triangle,go2,1,,,,,,
1,338.0,2,phase_2,blue_circle,go1,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
1,433.0,2,phase_2,blue_circle,go1,1,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
1,391.0,2,phase_2,blue_circle,go1,1,,,,,,
1,313.0,2,phase_2,red_triangle,go2,1,,,,,,
1,360.0,2,phase_2,red_triangle,go2,1,,,,,,
1,328.0,2,phase_2,red_triangle,go2,1,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
1,336.0,2,phase_2,red_triangle,go2,1,,,,,,
1,440.0,2,phase_2,blue_circle,go1,1,,,,,,
1,361.0,2,phase_2,blue_circle,go1,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
1,386.0,2,phase_2,blue_circle,go1,1,,,,,,
1,387.0,2,phase_2,red_triangle,go2,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
1,368.0,2,phase_2,red_triangle,go2,1,,,,,,
1,364.0,3,phase_2,red_triangle,go2,1,,,,,,
0,0,3,phase_2,green_rhombus,nogo1,4,,,,,,
1,366.0,3,phase_2,blue_circle,go1,1,,,,,,
1,333.0,3,phase_2,red_triangle,go2,1,,,,,,
1,404.0,3,phase_2,blue_circle,go1,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo2,4,,,,,,
1,349.0,3,phase_2,blue_circle,go1,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo2,4,,,,,,
1,408.0,3,phase_2,blue_circle,go1,1,,,,,,
1,320.0,3,phase_2,red_triangle,go2,1,,,,,,
1,286.0,3,phase_2,red_triangle,go2,1,,,,,,
1,321.0,3,phase_2,blue_circle,go1,1,,,,,,
0,0,3,phase_2,green_rhombus,nogo1,4,,,,,,
0,0,3,phase_2,green_rhombus,nogo1,4,,,,,,
1,348.0,3,phase_2,blue_circle,go1,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo2,4,,,,,,
1,350.0,3,phase_2,red_triangle,go2,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo2,4,,,,,,
1,421.0,3,phase_2,red_triangle,go2,1,,,,,,
1,311.0,3,phase_2,blue_circle,go1,1,,,,,,
0,0,3,phase_2,green_rhombus,nogo1,4,,,,,,
1,337.0,3,phase_2,red_triangle,go2,1,,,,,,
1,406.0,3,phase_2,blue_circle,go1,1,,,,,,
1,396.0,3,phase_2,red_triangle,go2,1,,,,,,
0,0,3,phase_2,green_rhombus,nogo1,4,,,,,,
1,409.0,3,phase_2,red_triangle,go2,1,,,,,,
1,413.0,3,phase_2,blue_circle,go1,1,,,,,,
1,358.0,3,phase_2,blue_circle,go1,1,,,,,,
