response,reaction_time,block,which_phase,stim,go_nogo_type,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
1,420.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,308.0,1,phase_2,red_circle,go1,1,,,,,,
1,298.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,436.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,336.0,1,phase_2,red_circle,go1,1,,,,,,
1,292.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,269.0,1,phase_2,red_circle,go1,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,370.0,1,phase_2,red_circle,go1,1,,,,,,
1,295.0,1,phase_2,blue_triangle,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,345.0,1,phase_2,red_circle,go1,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,381.0,1,phase_2,red_circle,go1,1,,,,,,
1,372.0,1,phase_2,red_circle,go1,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,342.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,332.0,1,phase_2,blue_triangle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,424.0,1,phase_2,red_circle,go1,1,,,,,,
1,314.0,1,phase_2,blue_triangle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,349.0,1,phase_2,red_circle,go1,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,329.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,364.0,1,phase_2,red_circle,go1,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,404.0,1,phase_2,red_circle,go1,1,,,,,,
1,359.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,405.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,395.0,1,phase_2,red_circle,go1,1,,,,,,
1,373.0,1,phase_2,red_circle,go1,1,,,,,,
1,362.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,318.0,1,phase_2,red_circle,go1,1,,,,,,
1,331.0,1,phase_2,red_circle,go1,1,,,,,,
1,320.0,1,phase_2,blue_triangle,go2,1,,,,,,
1,309.0,1,phase_2,blue_triangle,go2,1,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,301.0,1,phase_2,blue_triangle,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
0,0,1,phase_2,green_rhombus,nogo1,4,,,,,,
1,316.0,1,phase_2,blue_triangle,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo2,4,,,,,,
1,308.0,1,phase_2,red_circle,go1,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo2,4,,,,,,
1,376.0,2,phase_2,blue_triangle,go2,1,,,,,,
1,345.0,2,phase_2,red_circle,go1,1,,,,,,
0,0,2,phase_2,green_rhombus,nogo1,4,,,,,,
1,280.0,2,phase_2,blue_triangle,go2,1,,,,,,
