raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
52.0,1.0,0.5,0.0,2.0,2.0,604.5044213533401,1.0,1.0,phase_1,,,,,,,,,,,,,gray,flipped triangle
182.0,3.0,2.0,0.0,1.0,1.0,378.6576557904482,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
382.0,8.0,4.0,1.0,3.0,3.0,364.7525422275066,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,diamond
420.0,8.0,4.0,1.0,3.0,3.0,336.5135695785284,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,diamond
116.0,2.0,1.0,0.0,2.0,2.0,438.2353331893682,1.0,1.0,phase_1,,,,,,,,,,,,,white,I
33.0,5.0,0.5,1.0,3.0,3.0,365.5978217720985,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
30.0,5.0,0.5,1.0,3.0,3.0,336.2010549753904,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
0.0,3.0,0.0,0.0,4.0,4.0,259.1202370822429,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
43.0,5.0,0.5,1.0,2.0,2.0,336.4316429942846,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
106.0,6.0,1.0,1.0,4.0,4.0,372.8808220475912,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
415.0,8.0,4.0,1.0,2.0,2.0,313.0351398140192,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,diamond
26.0,1.0,0.5,0.0,4.0,4.0,303.5398963838815,1.0,1.0,phase_1,,,,,,,,,,,,,gray,flipped triangle
0.0,5.0,0.0,1.0,2.0,2.0,339.45532143116,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
60.0,5.0,0.5,1.0,2.0,2.0,407.3744267225265,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
36.0,1.0,0.5,0.0,2.0,2.0,358.790636062622,1.0,1.0,phase_1,,,,,,,,,,,,,gray,flipped triangle
33.0,1.0,0.5,0.0,3.0,3.0,330.92164993286127,1.0,1.0,phase_1,,,,,,,,,,,,,gray,flipped triangle
76.0,2.0,1.0,0.0,3.0,3.0,495.4523462802171,1.0,1.0,phase_1,,,,,,,,,,,,,white,I
218.0,7.0,2.0,1.0,1.0,1.0,563.837856054306,1.0,1.0,phase_1,,,,,,,,,,,,,blue,square
0.0,7.0,0.0,1.0,2.0,2.0,374.1167765110731,1.0,1.0,phase_1,,,,,,,,,,,,,blue,square
32.0,5.0,0.5,1.0,3.0,3.0,282.9907573759556,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
0.0,5.0,0.0,1.0,2.0,2.0,303.5547621548176,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
0.0,8.0,0.0,1.0,2.0,2.0,365.0959134101867,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,diamond
193.0,3.0,2.0,0.0,2.0,2.0,345.049113035202,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
212.0,3.0,2.0,0.0,1.0,1.0,352.1036766469478,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
0.0,5.0,0.0,1.0,2.0,2.0,308.9871499687433,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
214.0,3.0,2.0,0.0,2.0,2.0,322.0187146216631,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
194.0,7.0,2.0,1.0,1.0,1.0,341.6372891515493,1.0,1.0,phase_1,,,,,,,,,,,,,blue,square
399.0,8.0,4.0,1.0,3.0,3.0,410.590898245573,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,diamond
223.0,3.0,2.0,0.0,4.0,4.0,302.0983077585697,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
101.0,2.0,1.0,0.0,4.0,4.0,316.6690152138471,1.0,1.0,phase_1,,,,,,,,,,,,,white,I
78.0,6.0,1.0,1.0,4.0,4.0,358.6656078696251,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
215.0,7.0,2.0,1.0,3.0,3.0,365.445002913475,1.0,1.0,phase_1,,,,,,,,,,,,,blue,square
0.0,3.0,0.0,0.0,3.0,3.0,306.7347221076488,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
0.0,8.0,0.0,1.0,3.0,3.0,404.685540124774,1.0,2.0,phase_1,,,,,,,,,,,,,yellow,diamond
376.0,4.0,4.0,0.0,4.0,4.0,359.8712105304003,1.0,1.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,8.0,0.0,1.0,1.0,1.0,371.4526947587728,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,diamond
73.0,1.0,0.5,0.0,1.0,1.0,465.8674485981464,1.0,1.0,phase_1,,,,,,,,,,,,,gray,flipped triangle
207.0,3.0,2.0,0.0,2.0,2.0,356.1806753277778,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
404.0,8.0,4.0,1.0,1.0,1.0,420.0112838298082,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,diamond
0.0,5.0,0.0,1.0,4.0,4.0,366.2158064544201,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
51.0,5.0,0.5,1.0,1.0,1.0,554.1169978678226,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
41.0,5.0,0.5,1.0,3.0,3.0,335.707738995552,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
193.0,7.0,2.0,1.0,2.0,2.0,339.4885808229446,1.0,1.0,phase_1,,,,,,,,,,,,,blue,square
177.0,3.0,2.0,0.0,2.0,2.0,409.1891758143902,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
