raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,num_trial_presentations,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
398.0,8.0,4.0,1.0,4.0,4.0,418.9386032521724,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
101.0,2.0,2.0,0.0,2.0,2.0,479.1559344157576,1.0,1.0,part_1,,,,,,,,,,,,,white,I
35.0,1.0,1.0,0.0,4.0,4.0,697.9070659726858,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
40.0,1.0,1.0,0.0,2.0,2.0,390.4725816100836,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
0.0,4.0,0.0,0.0,4.0,4.0,282.9867321997881,1.0,1.0,part_1,,,,,,,,,,,,,green,hexagon
60.0,1.0,1.0,0.0,3.0,3.0,435.6996910646558,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
0.0,5.0,0.0,1.0,1.0,1.0,430.8977974578738,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
214.0,7.0,3.0,1.0,1.0,1.0,324.6522806584835,1.0,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
396.0,4.0,4.0,0.0,1.0,1.0,462.3474832624197,1.0,1.0,part_1,,,,,,,,,,,,,green,hexagon
109.0,2.0,2.0,0.0,1.0,1.0,354.8968862742185,1.0,1.0,part_1,,,,,,,,,,,,,white,I
97.0,6.0,2.0,1.0,1.0,1.0,295.575245283544,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
184.0,3.0,3.0,0.0,2.0,2.0,268.0556653067469,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
212.0,7.0,3.0,1.0,4.0,4.0,225.2990184351802,1.0,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
214.0,7.0,3.0,1.0,1.0,1.0,253.51287703961128,1.0,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
0.0,2.0,0.0,0.0,1.0,1.0,291.751941666007,1.0,1.0,part_1,,,,,,,,,,,,,white,I
0.0,5.0,0.0,1.0,2.0,2.0,326.9967269152403,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
0.0,2.0,0.0,0.0,4.0,4.0,332.0358227938413,1.0,1.0,part_1,,,,,,,,,,,,,white,I
0.0,8.0,0.0,1.0,4.0,4.0,354.641473852098,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
103.0,6.0,2.0,1.0,3.0,3.0,350.7064031437039,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
424.0,8.0,4.0,1.0,4.0,4.0,275.1852246001363,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
0.0,7.0,0.0,1.0,1.0,1.0,294.1811680793762,1.0,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
43.0,5.0,1.0,1.0,3.0,3.0,474.713453091681,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
384.0,4.0,4.0,0.0,4.0,4.0,377.0817695185542,1.0,1.0,part_1,,,,,,,,,,,,,green,hexagon
111.0,2.0,2.0,0.0,4.0,4.0,408.2133136689663,1.0,1.0,part_1,,,,,,,,,,,,,white,I
53.0,5.0,1.0,1.0,4.0,4.0,284.1379595920443,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
199.0,7.0,3.0,1.0,4.0,4.0,309.7254084423184,1.0,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
81.0,6.0,2.0,1.0,4.0,4.0,298.7739220261574,1.0,2.0,part_1,,,,,,,,,,,,,blue,cross
60.0,5.0,1.0,1.0,2.0,2.0,428.7123596295714,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
56.0,1.0,1.0,0.0,2.0,2.0,457.9705987125635,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
124.0,2.0,2.0,0.0,4.0,4.0,368.6646362766623,1.0,1.0,part_1,,,,,,,,,,,,,white,I
396.0,8.0,4.0,1.0,1.0,1.0,437.9089409485459,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
391.0,8.0,4.0,1.0,2.0,2.0,385.6121320277452,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
389.0,8.0,4.0,1.0,3.0,3.0,347.5405005738139,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
76.0,2.0,2.0,0.0,3.0,3.0,439.6829372271895,1.0,1.0,part_1,,,,,,,,,,,,,white,I
0.0,5.0,0.0,1.0,1.0,1.0,319.3803085014224,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
0.0,3.0,0.0,0.0,2.0,2.0,361.0702054575085,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
185.0,3.0,3.0,0.0,2.0,2.0,336.530583910644,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
0.0,6.0,0.0,1.0,1.0,1.0,380.9420363977551,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
121.0,2.0,2.0,0.0,1.0,1.0,346.4667918160558,1.0,1.0,part_1,,,,,,,,,,,,,white,I
424.0,4.0,4.0,0.0,2.0,2.0,339.9364249780774,1.0,1.0,part_1,,,,,,,,,,,,,green,hexagon
380.0,8.0,4.0,1.0,2.0,2.0,403.5606402903795,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
111.0,2.0,2.0,0.0,2.0,2.0,388.8608980923891,1.0,1.0,part_1,,,,,,,,,,,,,white,I
