raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
205.0,3.0,2.0,0.0,4.0,4.0,636.9229459960479,1.0,1.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,1.0,0.0,0.0,2.0,2.0,549.6742129907943,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
122.0,2.0,1.0,0.0,3.0,3.0,530.9170899854507,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,I
0.0,4.0,0.0,0.0,4.0,4.0,386.1956059990916,1.0,1.0,phase_1,,,,,,,,,,,,,blue,cross
377.0,4.0,4.0,0.0,3.0,3.0,404.2575069761369,1.0,1.0,phase_1,,,,,,,,,,,,,blue,cross
115.0,6.0,1.0,1.0,1.0,1.0,385.4165310040116,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
57.0,5.0,0.5,1.0,2.0,2.0,431.149693991756,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
0.0,6.0,0.0,1.0,3.0,3.0,469.2451750161126,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
210.0,3.0,2.0,0.0,1.0,1.0,495.2598939999006,1.0,1.0,phase_1,,,,,,,,,,,,,green,diamond
183.0,3.0,2.0,0.0,3.0,3.0,541.9001019909047,1.0,1.0,phase_1,,,,,,,,,,,,,green,diamond
224.0,7.0,2.0,1.0,1.0,1.0,395.8089020161424,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
0.0,4.0,0.0,0.0,4.0,4.0,383.36077099666,1.0,1.0,phase_1,,,,,,,,,,,,,blue,cross
0.0,4.0,0.0,0.0,2.0,2.0,437.0882860093843,1.0,1.0,phase_1,,,,,,,,,,,,,blue,cross
189.0,3.0,2.0,0.0,1.0,1.0,446.9607040227856,1.0,1.0,phase_1,,,,,,,,,,,,,green,diamond
66.0,1.0,0.5,0.0,4.0,4.0,330.6606750120409,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,3.0,0.0,0.0,3.0,3.0,378.1631370075047,1.0,1.0,phase_1,,,,,,,,,,,,,green,diamond
205.0,7.0,2.0,1.0,3.0,3.0,479.974130023038,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
0.0,1.0,0.0,0.0,2.0,2.0,456.9783760234713,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
199.0,3.0,2.0,0.0,3.0,3.0,455.7821360067464,1.0,1.0,phase_1,,,,,,,,,,,,,green,diamond
26.0,1.0,0.5,0.0,1.0,1.0,404.7437609988265,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
95.0,6.0,1.0,1.0,3.0,3.0,435.0843779975548,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
60.0,1.0,0.5,0.0,2.0,2.0,339.6147960156668,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
194.0,7.0,2.0,1.0,2.0,2.0,368.4872259909753,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
177.0,3.0,2.0,0.0,1.0,1.0,375.6626720132772,1.0,1.0,phase_1,,,,,,,,,,,,,green,diamond
107.0,2.0,1.0,0.0,2.0,2.0,395.8720410009846,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,I
377.0,8.0,4.0,1.0,4.0,4.0,345.121742982883,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,flipped triangle
400.0,4.0,4.0,0.0,2.0,2.0,365.6559259979985,1.0,1.0,phase_1,,,,,,,,,,,,,blue,cross
47.0,1.0,0.5,0.0,4.0,4.0,327.6630740147084,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,8.0,0.0,1.0,4.0,4.0,540.855889004888,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,flipped triangle
207.0,7.0,2.0,1.0,4.0,4.0,501.09137999243103,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
120.0,6.0,1.0,1.0,4.0,4.0,417.7110750169959,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
86.0,6.0,1.0,1.0,4.0,4.0,421.9682920083869,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,circle
0.0,8.0,0.0,1.0,1.0,1.0,441.4260920020751,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,flipped triangle
200.0,3.0,2.0,0.0,4.0,4.0,430.6841090146918,1.0,1.0,phase_1,,,,,,,,,,,,,green,diamond
32.0,1.0,0.5,0.0,2.0,2.0,482.2027040063403,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
80.0,2.0,1.0,0.0,2.0,2.0,454.0856620005797,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,I
