stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
2.0,0,2.0,2.0,834.726810455,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
4.0,0,1.0,1.0,367.548942566,1.0,part_1,,,,,,,,,,,,,cyan,line
2.0,0,3.0,3.0,350.723981857,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.5,0,4.0,4.0,334.416151047,1.0,part_1,,,,,,,,,,,,,magenta,triangle
0.5,0,2.0,2.0,383.87298584,1.0,part_1,,,,,,,,,,,,,magenta,triangle
1.0,0,4.0,4.0,350.931882858,1.0,part_1,,,,,,,,,,,,,yellow,cross
4.0,0,4.0,4.0,417.95086860699996,1.0,part_1,,,,,,,,,,,,,cyan,line
2.0,0,2.0,2.0,500.83303451500007,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
2.0,0,3.0,3.0,417.436122894,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
2.0,0,2.0,2.0,400.84695816,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
2.0,0,4.0,4.0,317.35992431600005,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
2.0,0,3.0,3.0,334.714889526,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
1.0,0,3.0,3.0,367.653131485,1.0,part_1,,,,,,,,,,,,,yellow,cross
0.5,1,4.0,4.0,368.165969849,1.0,part_1,,,,,,,,,,,,,blue,diamond
1.0,0,4.0,4.0,334.29002761799995,1.0,part_1,,,,,,,,,,,,,yellow,cross
1.0,1,2.0,2.0,367.475986481,1.0,part_1,,,,,,,,,,,,,green,circle
4.0,1,4.0,4.0,367.493867874,1.0,part_1,,,,,,,,,,,,,white,hexagon
4.0,1,4.0,4.0,350.641012192,1.0,part_1,,,,,,,,,,,,,white,hexagon
4.0,1,3.0,3.0,367.316961288,1.0,part_1,,,,,,,,,,,,,white,hexagon
1.0,0,4.0,4.0,351.100921631,1.0,part_1,,,,,,,,,,,,,yellow,cross
4.0,1,3.0,3.0,384.594202042,1.0,part_1,,,,,,,,,,,,,white,hexagon
0.5,1,4.0,4.0,350.54397583,1.0,part_1,,,,,,,,,,,,,blue,diamond
1.0,1,1.0,1.0,317.714929581,1.0,part_1,,,,,,,,,,,,,green,circle
0.5,1,4.0,4.0,318.01795959500004,1.0,part_1,,,,,,,,,,,,,blue,diamond
0.5,0,4.0,4.0,317.578077316,1.0,part_1,,,,,,,,,,,,,magenta,triangle
4.0,0,4.0,4.0,317.59595871,1.0,part_1,,,,,,,,,,,,,cyan,line
4.0,1,2.0,2.0,451.112031937,1.0,part_1,,,,,,,,,,,,,white,hexagon
2.0,1,2.0,2.0,467.89312362699997,1.0,part_1,,,,,,,,,,,,,gray,square
0.5,1,4.0,4.0,300.512075424,1.0,part_1,,,,,,,,,,,,,blue,diamond
4.0,1,1.0,1.0,334.14888382000004,1.0,part_1,,,,,,,,,,,,,white,hexagon
0.5,1,2.0,2.0,383.926868439,1.0,part_1,,,,,,,,,,,,,blue,diamond
0.5,1,2.0,2.0,467.50593185400004,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,0,1.0,1.0,317.742109299,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
4.0,1,4.0,4.0,334.177017212,1.0,part_1,,,,,,,,,,,,,white,hexagon
1.0,1,4.0,4.0,350.608110428,1.0,part_1,,,,,,,,,,,,,green,circle
2.0,0,2.0,2.0,367.28096008299997,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.5,1,2.0,2.0,367.605924606,1.0,part_1,,,,,,,,,,,,,blue,diamond
1.0,1,3.0,3.0,384.269952774,1.0,part_1,,,,,,,,,,,,,green,circle
4.0,0,3.0,3.0,350.926876068,1.0,part_1,,,,,,,,,,,,,cyan,line
4.0,0,3.0,3.0,351.05085372900004,1.0,part_1,,,,,,,,,,,,,cyan,line
0.5,0,1.0,1.0,383.898019791,1.0,part_1,,,,,,,,,,,,,magenta,triangle
1.0,1,4.0,4.0,317.378997803,1.0,part_1,,,,,,,,,,,,,green,circle
4.0,0,2.0,2.0,351.056098938,1.0,part_1,,,,,,,,,,,,,cyan,line
4.0,1,1.0,1.0,317.039012909,1.0,part_1,,,,,,,,,,,,,white,hexagon
4.0,1,2.0,2.0,367.09403991700003,1.0,part_1,,,,,,,,,,,,,white,hexagon
2.0,1,1.0,1.0,367.479085922,1.0,part_1,,,,,,,,,,,,,gray,square
0.5,1,1.0,1.0,300.480127335,1.0,part_1,,,,,,,,,,,,,blue,diamond
1.0,1,1.0,1.0,401.193141937,1.0,part_1,,,,,,,,,,,,,green,circle
0.5,1,1.0,1.0,334.28597450300003,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,0,3.0,3.0,367.61713027999997,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
2.0,1,4.0,4.0,351.35817527800003,1.0,part_1,,,,,,,,,,,,,gray,square
2.0,0,1.0,1.0,334.020137787,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
1.0,0,2.0,2.0,400.990962982,1.0,part_1,,,,,,,,,,,,,yellow,cross
4.0,1,1.0,1.0,334.10406112699997,1.0,part_1,,,,,,,,,,,,,white,hexagon
2.0,1,2.0,2.0,400.9308815,1.0,part_1,,,,,,,,,,,,,gray,square
1.0,1,4.0,4.0,333.914995193,1.0,part_1,,,,,,,,,,,,,green,circle
1.0,0,3.0,3.0,350.47602653499996,1.0,part_1,,,,,,,,,,,,,yellow,cross
1.0,1,3.0,3.0,384.260177612,1.0,part_1,,,,,,,,,,,,,green,circle
2.0,1,1.0,1.0,301.280975342,1.0,part_1,,,,,,,,,,,,,gray,square
0.5,1,2.0,2.0,351.13286972000003,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,0,4.0,4.0,317.280054092,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.5,0,3.0,3.0,367.45095253,1.0,part_1,,,,,,,,,,,,,magenta,triangle
0.5,0,3.0,3.0,351.100206375,1.0,part_1,,,,,,,,,,,,,magenta,triangle
2.0,1,1.0,1.0,284.54494476300005,1.0,part_1,,,,,,,,,,,,,gray,square
0.5,0,4.0,4.0,284.223079681,1.0,part_1,,,,,,,,,,,,,magenta,triangle
2.0,1,1.0,1.0,300.971984863,1.0,part_1,,,,,,,,,,,,,gray,square
0.5,1,3.0,3.0,334.074020386,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,1,2.0,2.0,367.319822311,1.0,part_1,,,,,,,,,,,,,gray,square
2.0,0,2.0,2.0,367.213010788,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.5,1,3.0,3.0,317.884922028,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,0,1.0,1.0,267.471075058,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
1.0,1,3.0,3.0,334.07998085,1.0,part_1,,,,,,,,,,,,,green,circle
2.0,0,1.0,1.0,333.744049072,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
2.0,1,2.0,2.0,367.88392066999995,1.0,part_1,,,,,,,,,,,,,gray,square
4.0,1,1.0,1.0,317.32988357500005,1.0,part_1,,,,,,,,,,,,,white,hexagon
2.0,1,2.0,2.0,334.53011512800003,1.0,part_1,,,,,,,,,,,,,gray,square
4.0,1,3.0,3.0,334.036111832,1.0,part_1,,,,,,,,,,,,,white,hexagon
0.5,0,1.0,1.0,317.468881607,1.0,part_1,,,,,,,,,,,,,magenta,triangle
0.5,1,2.0,2.0,384.144067764,1.0,part_1,,,,,,,,,,,,,blue,diamond
0.5,0,1.0,1.0,317.487955093,1.0,part_1,,,,,,,,,,,,,magenta,triangle
1.0,0,4.0,4.0,417.850017548,1.0,part_1,,,,,,,,,,,,,yellow,cross
4.0,0,3.0,3.0,351.423025131,1.0,part_1,,,,,,,,,,,,,cyan,line
1.0,1,2.0,2.0,333.936214447,1.0,part_1,,,,,,,,,,,,,green,circle
4.0,0,1.0,1.0,317.30604171799996,1.0,part_1,,,,,,,,,,,,,cyan,line
4.0,0,4.0,4.0,284.222126007,1.0,part_1,,,,,,,,,,,,,cyan,line
2.0,1,3.0,3.0,367.68794059799995,1.0,part_1,,,,,,,,,,,,,gray,square
1.0,1,4.0,4.0,451.014995575,1.0,part_1,,,,,,,,,,,,,green,circle
2.0,1,2.0,2.0,333.420038223,1.0,part_1,,,,,,,,,,,,,gray,square
1.0,1,3.0,3.0,333.998203278,1.0,part_1,,,,,,,,,,,,,green,circle
1.0,0,3.0,3.0,351.40109062199997,1.0,part_1,,,,,,,,,,,,,yellow,cross
2.0,0,1.0,1.0,301.20801925700005,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
2.0,0,2.0,2.0,384.043931961,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
1.0,0,3.0,3.0,333.790063858,1.0,part_1,,,,,,,,,,,,,yellow,cross
1.0,1,1.0,1.0,300.95696449300004,1.0,part_1,,,,,,,,,,,,,green,circle
1.0,0,3.0,3.0,334.026098251,1.0,part_1,,,,,,,,,,,,,yellow,cross
0.5,1,4.0,4.0,317.454099655,1.0,part_1,,,,,,,,,,,,,blue,diamond
1.0,0,2.0,2.0,401.15594863900003,1.0,part_1,,,,,,,,,,,,,yellow,cross
1.0,1,3.0,3.0,300.759077072,1.0,part_1,,,,,,,,,,,,,green,circle
2.0,1,1.0,1.0,350.669145584,1.0,part_1,,,,,,,,,,,,,gray,square
1.0,0,1.0,1.0,283.980131149,1.0,part_1,,,,,,,,,,,,,yellow,cross
4.0,1,2.0,2.0,334.040164948,2.0,part_1,,,,,,,,,,,,,white,hexagon
0.5,0,1.0,1.0,334.594964981,2.0,part_1,,,,,,,,,,,,,magenta,triangle
1.0,1,4.0,4.0,334.469079971,2.0,part_1,,,,,,,,,,,,,green,circle
4.0,1,3.0,3.0,367.814064026,2.0,part_1,,,,,,,,,,,,,white,hexagon
0.5,0,2.0,2.0,284.05594825699995,2.0,part_1,,,,,,,,,,,,,magenta,triangle
0.5,1,4.0,4.0,300.88806152300003,2.0,part_1,,,,,,,,,,,,,blue,diamond
1.0,0,3.0,3.0,350.95810890200005,2.0,part_1,,,,,,,,,,,,,yellow,cross
2.0,1,1.0,1.0,267.263889313,2.0,part_1,,,,,,,,,,,,,gray,square
0.5,1,3.0,3.0,333.951950073,2.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,0,4.0,4.0,267.20404624900004,2.0,part_1,,,,,,,,,,,,,orange,flipped triangle
