stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
1.0,0,6.0,6.0,617.609024048,3.0,part_2,go,300.0,250.0,1.0,,,,,,,,,cyan,flipped triangle
1.0,0,6.0,6.0,333.988189697,4.0,part_2,go,300.0,250.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,1,5.0,5.0,467.555046082,4.0,part_2,stop,350.0,250.0,3.0,,,,,,,,,magenta,triangle
0.5,0,6.0,6.0,567.177057266,4.0,part_2,go,350.0,250.0,1.0,,,,,,,,,green,square
1.0,0,5.0,5.0,334.051847458,4.0,part_2,go,350.0,250.0,1.0,,,,,,,,,cyan,flipped triangle
2.0,0,6.0,6.0,450.764894485,4.0,part_2,go,350.0,250.0,1.0,,,,,,,,,gray,hexagon
4.0,0,5.0,5.0,400.72512626599996,4.0,part_2,go,350.0,250.0,1.0,,,,,,,,,orange,line
2.0,0,6.0,6.0,484.19690132100004,4.0,part_2,go,350.0,250.0,1.0,,,,,,,,,gray,hexagon
4.0,1,6.0,6.0,400.855779648,4.0,part_2,stop,350.0,300.0,3.0,,,,,,,,,magenta,triangle
2.0,1,5.0,5.0,450.699806213,4.0,part_2,stop,300.0,300.0,3.0,,,,,,,,,blue,diamond
1.0,1,6.0,,,4.0,,stop,300.0,250.0,4.0,,,,,,,,,white,cross
4.0,0,5.0,5.0,667.6628589630001,4.0,part_2,go,300.0,250.0,1.0,,,,,,,,,orange,line
2.0,1,5.0,,,4.0,,stop,250.0,250.0,4.0,,,,,,,,,blue,diamond
1.0,1,6.0,,,4.0,,stop,250.0,300.0,4.0,,,,,,,,,white,cross
1.0,0,6.0,6.0,634.418010712,4.0,part_2,go,250.0,300.0,1.0,,,,,,,,,cyan,flipped triangle
0.5,0,5.0,5.0,618.155002594,4.0,part_2,go,250.0,300.0,1.0,,,,,,,,,green,square
0.5,0,5.0,5.0,551.171064377,4.0,part_2,go,250.0,300.0,1.0,,,,,,,,,green,square
0.5,0,6.0,6.0,417.927026749,4.0,part_2,go,250.0,300.0,1.0,,,,,,,,,green,square
4.0,1,6.0,6.0,467.953920364,4.0,part_2,stop,250.0,350.0,3.0,,,,,,,,,magenta,triangle
0.5,1,5.0,,,4.0,,stop,300.0,350.0,4.0,,,,,,,,,yellow,circle
2.0,1,6.0,,,4.0,,stop,300.0,300.0,4.0,,,,,,,,,blue,diamond
1.0,1,5.0,,,4.0,,stop,350.0,300.0,4.0,,,,,,,,,white,cross
1.0,1,5.0,,,4.0,,stop,400.0,300.0,4.0,,,,,,,,,white,cross
0.5,1,6.0,,,4.0,,stop,400.0,350.0,4.0,,,,,,,,,yellow,circle
4.0,0,5.0,5.0,684.47804451,4.0,part_2,go,400.0,350.0,1.0,,,,,,,,,orange,line
0.5,1,5.0,5.0,617.923021317,4.0,part_2,stop,450.0,350.0,3.0,,,,,,,,,yellow,circle
0.5,0,5.0,5.0,685.039997101,4.0,part_2,go,450.0,350.0,1.0,,,,,,,,,green,square
0.5,1,5.0,5.0,584.4860076900001,4.0,part_2,stop,400.0,350.0,3.0,,,,,,,,,yellow,circle
1.0,0,5.0,5.0,868.1960105899999,4.0,part_2,go,400.0,350.0,1.0,,,,,,,,,cyan,flipped triangle
1.0,1,5.0,,,4.0,,stop,350.0,350.0,4.0,,,,,,,,,white,cross
2.0,1,6.0,,,4.0,,stop,350.0,400.0,4.0,,,,,,,,,blue,diamond
0.5,1,6.0,,,4.0,,stop,350.0,450.0,4.0,,,,,,,,,yellow,circle
1.0,0,6.0,6.0,634.3178749079999,4.0,part_2,go,350.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,1,6.0,6.0,767.611980438,4.0,part_2,go,350.0,450.0,1.0,,,,,,,,,magenta,triangle
2.0,0,6.0,6.0,750.8549690250001,4.0,part_2,go,350.0,450.0,1.0,,,,,,,,,gray,hexagon
2.0,0,5.0,5.0,767.767190933,4.0,part_2,go,350.0,450.0,1.0,,,,,,,,,gray,hexagon
1.0,0,6.0,6.0,684.844017029,4.0,part_2,go,350.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
1.0,0,5.0,5.0,501.049995422,5.0,part_2,go,350.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,1,6.0,6.0,534.0740680690001,5.0,part_2,stop,350.0,500.0,3.0,,,,,,,,,magenta,triangle
0.5,0,5.0,5.0,334.38897132899996,5.0,part_2,go,350.0,500.0,1.0,,,,,,,,,green,square
2.0,1,5.0,5.0,384.60278511,5.0,part_2,stop,400.0,500.0,3.0,,,,,,,,,blue,diamond
1.0,0,5.0,5.0,501.34301185600003,5.0,part_2,go,400.0,500.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,0,5.0,5.0,350.825071335,5.0,part_2,go,400.0,500.0,1.0,,,,,,,,,orange,line
0.5,0,6.0,6.0,367.65193939200003,5.0,part_2,go,400.0,500.0,1.0,,,,,,,,,green,square
0.5,0,5.0,5.0,350.631952286,5.0,part_2,go,400.0,500.0,1.0,,,,,,,,,green,square
0.5,0,5.0,5.0,584.828853607,5.0,part_2,go,400.0,500.0,1.0,,,,,,,,,green,square
2.0,1,6.0,6.0,367.531061172,5.0,part_2,stop,400.0,450.0,3.0,,,,,,,,,blue,diamond
0.5,1,6.0,,,5.0,,stop,400.0,400.0,4.0,,,,,,,,,yellow,circle
1.0,1,5.0,5.0,717.824935913,5.0,part_2,go,400.0,400.0,1.0,,,,,,,,,white,cross
0.5,1,5.0,,,5.0,,stop,350.0,400.0,4.0,,,,,,,,,yellow,circle
4.0,1,6.0,6.0,551.367998123,5.0,part_2,stop,350.0,450.0,3.0,,,,,,,,,magenta,triangle
2.0,1,5.0,,,5.0,,stop,400.0,450.0,4.0,,,,,,,,,blue,diamond
1.0,0,5.0,5.0,684.6158504489999,5.0,part_2,go,400.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,1,6.0,6.0,717.797040939,5.0,part_2,go,400.0,450.0,1.0,,,,,,,,,magenta,triangle
1.0,0,6.0,6.0,751.0459423069999,5.0,part_2,go,400.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,0,5.0,5.0,567.5599575040001,5.0,part_2,go,400.0,450.0,1.0,,,,,,,,,orange,line
0.5,1,5.0,5.0,350.363016129,5.0,part_2,stop,450.0,450.0,3.0,,,,,,,,,yellow,circle
2.0,1,5.0,5.0,701.037168503,5.0,part_2,go,450.0,450.0,1.0,,,,,,,,,blue,diamond
2.0,1,6.0,6.0,501.12915039100005,5.0,part_2,go,450.0,450.0,1.0,,,,,,,,,blue,diamond
2.0,1,6.0,6.0,417.66595840499997,5.0,part_2,stop,450.0,400.0,3.0,,,,,,,,,blue,diamond
4.0,0,6.0,6.0,817.9039955139999,5.0,part_2,go,450.0,400.0,1.0,,,,,,,,,orange,line
4.0,1,5.0,,,5.0,,stop,400.0,400.0,4.0,,,,,,,,,magenta,triangle
2.0,0,6.0,6.0,600.682020187,5.0,part_2,go,400.0,400.0,1.0,,,,,,,,,gray,hexagon
0.5,1,5.0,5.0,601.402044296,5.0,part_2,stop,450.0,400.0,3.0,,,,,,,,,yellow,circle
0.5,1,6.0,,,5.0,,stop,450.0,350.0,4.0,,,,,,,,,yellow,circle
2.0,1,6.0,6.0,784.803152084,5.0,part_2,go,450.0,350.0,1.0,,,,,,,,,blue,diamond
0.5,1,6.0,6.0,434.526920319,5.0,part_2,stop,450.0,400.0,3.0,,,,,,,,,yellow,circle
1.0,1,5.0,,,5.0,,stop,400.0,400.0,4.0,,,,,,,,,white,cross
0.5,1,6.0,6.0,551.306962967,5.0,part_2,stop,400.0,350.0,3.0,,,,,,,,,yellow,circle
