stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
4.0,0,4.0,4.0,601.551055908,1.0,part_1,,,,,,,,,,,,,yellow,triangle
1.0,0,2.0,2.0,417.226791382,1.0,part_1,,,,,,,,,,,,,gray,diamond
0.5,1,1.0,1.0,400.767087936,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
2.0,1,2.0,2.0,501.10602378799996,1.0,part_1,,,,,,,,,,,,,blue,square
2.0,1,4.0,4.0,450.694084167,1.0,part_1,,,,,,,,,,,,,blue,square
2.0,0,3.0,3.0,518.218994141,1.0,part_1,,,,,,,,,,,,,green,line
2.0,0,3.0,3.0,384.649991989,1.0,part_1,,,,,,,,,,,,,green,line
4.0,0,1.0,1.0,317.795991898,1.0,part_1,,,,,,,,,,,,,yellow,triangle
4.0,1,3.0,3.0,384.231090546,1.0,part_1,,,,,,,,,,,,,magenta,cross
0.5,0,2.0,2.0,317.62290000900003,1.0,part_1,,,,,,,,,,,,,orange,circle
4.0,1,2.0,2.0,317.521095276,1.0,part_1,,,,,,,,,,,,,magenta,cross
4.0,0,3.0,3.0,350.760936737,1.0,part_1,,,,,,,,,,,,,yellow,triangle
4.0,1,1.0,1.0,384.577989578,1.0,part_1,,,,,,,,,,,,,magenta,cross
0.5,0,1.0,1.0,384.14478302,1.0,part_1,,,,,,,,,,,,,orange,circle
1.0,0,1.0,1.0,334.49697494500003,1.0,part_1,,,,,,,,,,,,,gray,diamond
1.0,1,1.0,1.0,334.04898643499996,1.0,part_1,,,,,,,,,,,,,white,hexagon
4.0,1,4.0,4.0,401.26299858100003,1.0,part_1,,,,,,,,,,,,,magenta,cross
4.0,0,4.0,4.0,434.617996216,1.0,part_1,,,,,,,,,,,,,yellow,triangle
2.0,0,4.0,4.0,601.622104645,1.0,part_1,,,,,,,,,,,,,green,line
0.5,1,1.0,1.0,367.36321449300004,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
1.0,1,3.0,3.0,417.91582107500005,1.0,part_1,,,,,,,,,,,,,white,hexagon
0.5,0,4.0,4.0,517.456054688,1.0,part_1,,,,,,,,,,,,,orange,circle
1.0,0,2.0,2.0,467.216014862,1.0,part_1,,,,,,,,,,,,,gray,diamond
4.0,1,4.0,4.0,584.851980209,1.0,part_1,,,,,,,,,,,,,magenta,cross
0.5,1,4.0,4.0,801.789045334,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
2.0,0,2.0,2.0,484.046936035,1.0,part_1,,,,,,,,,,,,,green,line
4.0,0,3.0,3.0,384.527921677,1.0,part_1,,,,,,,,,,,,,yellow,triangle
1.0,0,3.0,3.0,384.122133255,1.0,part_1,,,,,,,,,,,,,gray,diamond
0.5,1,1.0,1.0,801.498889923,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
1.0,1,1.0,1.0,668.0531501769999,1.0,part_1,,,,,,,,,,,,,white,hexagon
2.0,0,2.0,2.0,418.01404952999997,1.0,part_1,,,,,,,,,,,,,green,line
1.0,0,2.0,2.0,384.050130844,1.0,part_1,,,,,,,,,,,,,gray,diamond
4.0,0,2.0,2.0,300.894021988,1.0,part_1,,,,,,,,,,,,,yellow,triangle
4.0,1,3.0,3.0,417.224884033,1.0,part_1,,,,,,,,,,,,,magenta,cross
2.0,0,1.0,1.0,367.38204956100003,1.0,part_1,,,,,,,,,,,,,green,line
0.5,0,4.0,4.0,401.238918304,1.0,part_1,,,,,,,,,,,,,orange,circle
0.5,1,1.0,1.0,401.043891907,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
4.0,0,1.0,1.0,350.939035416,1.0,part_1,,,,,,,,,,,,,yellow,triangle
4.0,0,4.0,4.0,400.66194534299996,1.0,part_1,,,,,,,,,,,,,yellow,triangle
4.0,1,2.0,2.0,350.94118118299997,1.0,part_1,,,,,,,,,,,,,magenta,cross
0.5,0,4.0,4.0,350.728988647,1.0,part_1,,,,,,,,,,,,,orange,circle
2.0,1,3.0,3.0,334.271907806,1.0,part_1,,,,,,,,,,,,,blue,square
1.0,0,2.0,2.0,350.535154343,1.0,part_1,,,,,,,,,,,,,gray,diamond
0.5,1,3.0,3.0,368.076086044,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
2.0,0,1.0,1.0,300.86803436300005,1.0,part_1,,,,,,,,,,,,,green,line
4.0,0,4.0,4.0,417.541027069,1.0,part_1,,,,,,,,,,,,,yellow,triangle
2.0,0,1.0,1.0,417.676925659,1.0,part_1,,,,,,,,,,,,,green,line
4.0,0,2.0,2.0,317.342042923,1.0,part_1,,,,,,,,,,,,,yellow,triangle
1.0,0,2.0,2.0,316.890954971,1.0,part_1,,,,,,,,,,,,,gray,diamond
