raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
60.0,1.0,1.0,0,2.0,2.0,500.982999802,1.0,phase_1,,,,,,,,,,,,,gray,hexagon
417.0,4.0,4.0,0,2.0,2.0,434.566020966,1.0,phase_1,,,,,,,,,,,,,cyan,line
207.0,3.0,3.0,1,4.0,4.0,485.04114151,1.0,phase_1,,,,,,,,,,,,,blue,cross
112.0,2.0,2.0,0,1.0,1.0,418.076992035,1.0,phase_1,,,,,,,,,,,,,white,square
390.0,8.0,4.0,1,2.0,2.0,384.517908096,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
404.0,4.0,4.0,0,1.0,1.0,384.19890403700003,1.0,phase_1,,,,,,,,,,,,,cyan,line
397.0,4.0,4.0,0,2.0,2.0,400.851011276,1.0,phase_1,,,,,,,,,,,,,cyan,line
191.0,3.0,3.0,1,1.0,1.0,417.871952057,1.0,phase_1,,,,,,,,,,,,,blue,cross
123.0,2.0,2.0,0,4.0,4.0,384.246110916,1.0,phase_1,,,,,,,,,,,,,white,square
194.0,3.0,3.0,1,3.0,3.0,384.32097435000003,1.0,phase_1,,,,,,,,,,,,,blue,cross
0.0,7.0,0.0,0,4.0,4.0,451.250076294,1.0,phase_1,,,,,,,,,,,,,orange,triangle
43.0,1.0,1.0,0,2.0,2.0,434.31401252700005,1.0,phase_1,,,,,,,,,,,,,gray,hexagon
421.0,8.0,4.0,1,1.0,1.0,351.24993324300004,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
422.0,8.0,4.0,1,2.0,2.0,417.631864548,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
0.0,5.0,0.0,1,3.0,3.0,451.195001602,1.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,5.0,0.0,1,2.0,2.0,334.544897079,1.0,phase_1,,,,,,,,,,,,,green,diamond
216.0,7.0,3.0,0,3.0,3.0,400.345087051,1.0,phase_1,,,,,,,,,,,,,orange,triangle
0.0,4.0,0.0,0,4.0,4.0,400.823831558,1.0,phase_1,,,,,,,,,,,,,cyan,line
195.0,3.0,3.0,1,4.0,4.0,400.94995498699996,1.0,phase_1,,,,,,,,,,,,,blue,cross
68.0,1.0,1.0,0,3.0,3.0,367.338895798,1.0,phase_1,,,,,,,,,,,,,gray,hexagon
425.0,4.0,4.0,0,1.0,1.0,567.9421424870001,1.0,phase_1,,,,,,,,,,,,,cyan,line
31.0,1.0,1.0,0,2.0,2.0,334.326982498,1.0,phase_1,,,,,,,,,,,,,gray,hexagon
39.0,1.0,1.0,0,3.0,3.0,350.687980652,1.0,phase_1,,,,,,,,,,,,,gray,hexagon
212.0,7.0,3.0,0,4.0,4.0,417.630910873,1.0,phase_1,,,,,,,,,,,,,orange,triangle
94.0,6.0,2.0,1,1.0,1.0,417.60396957399996,1.0,phase_1,,,,,,,,,,,,,magenta,circle
0.0,3.0,0.0,1,3.0,3.0,367.84696578999996,1.0,phase_1,,,,,,,,,,,,,blue,cross
0.0,7.0,0.0,0,3.0,3.0,401.123046875,1.0,phase_1,,,,,,,,,,,,,orange,triangle
401.0,8.0,4.0,1,2.0,2.0,400.708913803,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
44.0,1.0,1.0,0,1.0,1.0,317.832946777,1.0,phase_1,,,,,,,,,,,,,gray,hexagon
385.0,8.0,4.0,1,2.0,2.0,484.571933746,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
218.0,3.0,3.0,1,4.0,4.0,450.871944427,1.0,phase_1,,,,,,,,,,,,,blue,cross
216.0,7.0,3.0,0,3.0,3.0,417.474985123,1.0,phase_1,,,,,,,,,,,,,orange,triangle
105.0,2.0,2.0,0,3.0,3.0,384.21607017499997,1.0,phase_1,,,,,,,,,,,,,white,square
0.0,6.0,0.0,1,1.0,1.0,384.28902626,1.0,phase_1,,,,,,,,,,,,,magenta,circle
0.0,1.0,0.0,0,4.0,4.0,501.405954361,1.0,phase_1,,,,,,,,,,,,,gray,hexagon
211.0,3.0,3.0,1,3.0,3.0,400.614976883,1.0,phase_1,,,,,,,,,,,,,blue,cross
214.0,3.0,3.0,1,3.0,3.0,384.697914124,1.0,phase_1,,,,,,,,,,,,,blue,cross
0.0,6.0,0.0,1,1.0,1.0,384.291887283,1.0,phase_1,,,,,,,,,,,,,magenta,circle
63.0,5.0,1.0,1,4.0,4.0,467.888116837,1.0,phase_1,,,,,,,,,,,,,green,diamond
411.0,4.0,4.0,0,2.0,2.0,367.751836777,1.0,phase_1,,,,,,,,,,,,,cyan,line
0.0,2.0,0.0,0,2.0,2.0,401.17096900900003,1.0,phase_1,,,,,,,,,,,,,white,square
122.0,6.0,2.0,1,4.0,4.0,383.958101273,1.0,phase_1,,,,,,,,,,,,,magenta,circle
33.0,5.0,1.0,1,4.0,4.0,400.948047638,1.0,phase_1,,,,,,,,,,,,,green,diamond
