raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
191.0,3.0,3.0,0,2.0,2.0,534.368038177,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
386.0,4.0,4.0,0,3.0,3.0,417.768955231,1.0,phase_1,,,,,,,,,,,,,gray,diamond
0.0,7.0,0.0,1,4.0,4.0,433.856010437,1.0,phase_1,,,,,,,,,,,,,green,cross
415.0,8.0,4.0,1,3.0,3.0,400.629997253,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
123.0,2.0,2.0,1,4.0,4.0,401.206016541,1.0,phase_1,,,,,,,,,,,,,orange,line
209.0,7.0,3.0,1,3.0,3.0,333.878040314,1.0,phase_1,,,,,,,,,,,,,green,cross
184.0,7.0,3.0,1,1.0,1.0,400.64406395000003,1.0,phase_1,,,,,,,,,,,,,green,cross
0.0,4.0,0.0,0,3.0,3.0,384.463787079,1.0,phase_1,,,,,,,,,,,,,gray,diamond
56.0,1.0,1.0,0,1.0,1.0,384.083032608,1.0,phase_1,,,,,,,,,,,,,magenta,circle
221.0,7.0,3.0,1,3.0,3.0,334.272861481,1.0,phase_1,,,,,,,,,,,,,green,cross
35.0,5.0,1.0,1,2.0,2.0,367.66409874,1.0,phase_1,,,,,,,,,,,,,white,square
201.0,3.0,3.0,0,2.0,2.0,401.327848434,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
65.0,1.0,1.0,0,1.0,1.0,317.45004653899997,1.0,phase_1,,,,,,,,,,,,,magenta,circle
394.0,8.0,4.0,1,1.0,1.0,418.041944504,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
0.0,6.0,0.0,0,2.0,2.0,351.139068604,1.0,phase_1,,,,,,,,,,,,,blue,triangle
86.0,2.0,2.0,1,1.0,1.0,350.942134857,1.0,phase_1,,,,,,,,,,,,,orange,line
91.0,2.0,2.0,1,4.0,4.0,417.65999794000004,1.0,phase_1,,,,,,,,,,,,,orange,line
96.0,2.0,2.0,1,4.0,4.0,401.25489234900004,1.0,phase_1,,,,,,,,,,,,,orange,line
220.0,3.0,3.0,0,1.0,1.0,384.691953659,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
406.0,8.0,4.0,1,4.0,4.0,384.272813797,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
104.0,6.0,2.0,0,1.0,1.0,367.838144302,1.0,phase_1,,,,,,,,,,,,,blue,triangle
0.0,4.0,0.0,0,4.0,4.0,367.32196807900004,1.0,phase_1,,,,,,,,,,,,,gray,diamond
193.0,7.0,3.0,1,3.0,3.0,417.493104935,1.0,phase_1,,,,,,,,,,,,,green,cross
391.0,8.0,4.0,1,4.0,4.0,401.18598938,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
404.0,8.0,4.0,1,3.0,3.0,401.610136032,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
417.0,4.0,4.0,0,1.0,1.0,384.50098037699996,1.0,phase_1,,,,,,,,,,,,,gray,diamond
386.0,8.0,4.0,1,4.0,4.0,367.496967316,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
115.0,2.0,2.0,1,2.0,2.0,350.793123245,1.0,phase_1,,,,,,,,,,,,,orange,line
410.0,8.0,4.0,1,3.0,3.0,367.89393425,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
88.0,6.0,2.0,0,1.0,1.0,300.669908524,1.0,phase_1,,,,,,,,,,,,,blue,triangle
0.0,4.0,0.0,0,2.0,2.0,401.24702453599997,1.0,phase_1,,,,,,,,,,,,,gray,diamond
0.0,4.0,0.0,0,1.0,1.0,367.732048035,1.0,phase_1,,,,,,,,,,,,,gray,diamond
0.0,8.0,0.0,1,3.0,3.0,434.615850449,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
189.0,3.0,3.0,0,1.0,1.0,368.188142776,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
220.0,7.0,3.0,1,3.0,3.0,384.22203064,1.0,phase_1,,,,,,,,,,,,,green,cross
46.0,1.0,1.0,0,4.0,4.0,417.488098145,1.0,phase_1,,,,,,,,,,,,,magenta,circle
58.0,1.0,1.0,0,1.0,1.0,351.21011734,1.0,phase_1,,,,,,,,,,,,,magenta,circle
71.0,5.0,1.0,1,1.0,1.0,384.421825409,1.0,phase_1,,,,,,,,,,,,,white,square
213.0,3.0,3.0,0,2.0,2.0,317.857980728,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
30.0,1.0,1.0,0,2.0,2.0,351.31001472500003,1.0,phase_1,,,,,,,,,,,,,magenta,circle
61.0,1.0,1.0,0,2.0,2.0,350.88491439800003,1.0,phase_1,,,,,,,,,,,,,magenta,circle
47.0,5.0,1.0,1,3.0,3.0,417.47379302999997,1.0,phase_1,,,,,,,,,,,,,white,square
0.0,8.0,0.0,1,1.0,1.0,317.662000656,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
402.0,4.0,4.0,0,3.0,3.0,400.59494972199997,1.0,phase_1,,,,,,,,,,,,,gray,diamond
27.0,5.0,1.0,1,4.0,4.0,450.778007507,1.0,phase_1,,,,,,,,,,,,,white,square
0.0,1.0,0.0,0,4.0,4.0,417.266845703,1.0,phase_1,,,,,,,,,,,,,magenta,circle
407.0,8.0,4.0,1,2.0,2.0,300.76789856000005,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
393.0,4.0,4.0,0,1.0,1.0,334.085941315,1.0,phase_1,,,,,,,,,,,,,gray,diamond
61.0,1.0,1.0,0,3.0,3.0,384.095191956,1.0,phase_1,,,,,,,,,,,,,magenta,circle
0.0,1.0,0.0,0,2.0,2.0,350.681781769,1.0,phase_1,,,,,,,,,,,,,magenta,circle
0.0,6.0,0.0,0,1.0,1.0,401.036024094,1.0,phase_1,,,,,,,,,,,,,blue,triangle
0.0,2.0,0.0,1,3.0,3.0,401.37720108,1.0,phase_1,,,,,,,,,,,,,orange,line
0.0,2.0,0.0,1,2.0,2.0,350.62479972799997,1.0,phase_1,,,,,,,,,,,,,orange,line
416.0,4.0,4.0,0,1.0,1.0,333.941221237,1.0,phase_1,,,,,,,,,,,,,gray,diamond
393.0,8.0,4.0,1,4.0,4.0,417.23394393899997,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
203.0,7.0,3.0,1,4.0,4.0,400.51507949800003,1.0,phase_1,,,,,,,,,,,,,green,cross
72.0,5.0,1.0,1,3.0,3.0,417.587041855,1.0,phase_1,,,,,,,,,,,,,white,square
399.0,8.0,4.0,1,2.0,2.0,350.591182709,1.0,phase_1,,,,,,,,,,,,,cyan,hexagon
96.0,2.0,2.0,1,3.0,3.0,384.254932404,1.0,phase_1,,,,,,,,,,,,,orange,line
0.0,3.0,0.0,0,4.0,4.0,334.139823914,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
80.0,2.0,2.0,1,3.0,3.0,417.386054993,1.0,phase_1,,,,,,,,,,,,,orange,line
220.0,7.0,3.0,1,4.0,4.0,450.88410377499997,1.0,phase_1,,,,,,,,,,,,,green,cross
46.0,1.0,1.0,0,4.0,4.0,384.166955948,1.0,phase_1,,,,,,,,,,,,,magenta,circle
182.0,3.0,3.0,0,2.0,2.0,484.18807983399995,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
