raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
187.0,3.0,2.0,0.0,2.0,2.0,410.4566710011568,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
424.0,8.0,4.0,1.0,3.0,3.0,347.1515090004686,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,triangle
403.0,8.0,4.0,1.0,4.0,4.0,430.5035369998222,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,triangle
117.0,6.0,1.0,1.0,1.0,1.0,323.9155930004926,1.0,1.0,phase_1,,,,,,,,,,,,,white,I
86.0,6.0,1.0,1.0,4.0,4.0,365.1105930002813,1.0,1.0,phase_1,,,,,,,,,,,,,white,I
188.0,7.0,2.0,1.0,4.0,4.0,356.8325830001413,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
211.0,7.0,2.0,1.0,3.0,3.0,341.8483500008733,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
221.0,7.0,2.0,1.0,1.0,1.0,348.2555560003675,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
407.0,4.0,4.0,0.0,1.0,1.0,390.3319780001766,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
0.0,6.0,0.0,1.0,3.0,3.0,320.557089000431,1.0,1.0,phase_1,,,,,,,,,,,,,white,I
57.0,5.0,0.5,1.0,4.0,4.0,362.7779190010187,1.0,1.0,phase_1,,,,,,,,,,,,,gray,circle
411.0,8.0,4.0,1.0,2.0,2.0,337.2490840010869,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,triangle
36.0,1.0,0.5,0.0,1.0,1.0,415.0587750009435,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,3.0,0.0,0.0,1.0,1.0,295.1004770002328,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
0.0,2.0,0.0,0.0,3.0,3.0,314.9507720008841,1.0,1.0,phase_1,,,,,,,,,,,,,green,cross
86.0,2.0,1.0,0.0,2.0,2.0,363.3020309989661,1.0,1.0,phase_1,,,,,,,,,,,,,green,cross
412.0,8.0,4.0,1.0,4.0,4.0,351.2954480011103,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,triangle
389.0,8.0,4.0,1.0,3.0,3.0,350.3953920007916,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,triangle
104.0,6.0,1.0,1.0,2.0,2.0,312.5383370006602,1.0,1.0,phase_1,,,,,,,,,,,,,white,I
