raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
205.0,3.0,2.0,0.0,2.0,2.0,338.4496899998339,1.0,1.0,phase_1,,,,,,,,,,,,,green,circle
385.0,8.0,4.0,1.0,3.0,3.0,274.1341920000195,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
56.0,1.0,0.5,0.0,4.0,4.0,266.3578810002036,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
205.0,7.0,2.0,1.0,4.0,4.0,363.9218870000604,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
415.0,4.0,4.0,0.0,1.0,1.0,293.4560250000686,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,triangle
34.0,1.0,0.5,0.0,3.0,3.0,286.3386230001197,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
91.0,6.0,1.0,1.0,1.0,1.0,267.6862349999283,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,I
420.0,8.0,4.0,1.0,4.0,4.0,293.9970630000061,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
0.0,7.0,0.0,1.0,3.0,3.0,252.0920990000377,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
218.0,3.0,2.0,0.0,1.0,1.0,237.5230170000577,1.0,1.0,phase_1,,,,,,,,,,,,,green,circle
55.0,1.0,0.5,0.0,4.0,4.0,251.758989000109,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
40.0,1.0,0.5,0.0,4.0,4.0,288.2633159999841,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
181.0,3.0,2.0,0.0,1.0,1.0,268.5690710000017,1.0,1.0,phase_1,,,,,,,,,,,,,green,circle
100.0,2.0,1.0,0.0,3.0,3.0,287.3187309999139,1.0,1.0,phase_1,,,,,,,,,,,,,gray,flipped triangle
