raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,num_trial_presentations,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
411.0,4.0,4.0,0.0,3.0,3.0,413.4646979998706,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
0.0,2.0,0.0,0.0,3.0,3.0,436.0446030000275,1.0,1.0,part_1,,,,,,,,,,,,,yellow,flipped triangle
392.0,4.0,4.0,0.0,3.0,3.0,410.3376299999581,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
413.0,4.0,4.0,0.0,1.0,1.0,523.3478879999893,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
208.0,7.0,3.0,1.0,1.0,1.0,468.3525049999844,1.0,1.0,part_1,,,,,,,,,,,,,green,diamond
36.0,5.0,1.0,1.0,2.0,2.0,448.0578800000785,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
98.0,6.0,2.0,1.0,2.0,2.0,327.483963999839,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
86.0,6.0,2.0,1.0,1.0,1.0,370.1004199999715,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
116.0,2.0,2.0,0.0,2.0,2.0,321.4941159999398,1.0,1.0,part_1,,,,,,,,,,,,,yellow,flipped triangle
188.0,3.0,3.0,0.0,2.0,2.0,342.3262599999361,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
411.0,4.0,4.0,0.0,4.0,4.0,372.3408690000269,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
99.0,2.0,2.0,0.0,3.0,3.0,420.4333029999816,1.0,1.0,part_1,,,,,,,,,,,,,yellow,flipped triangle
178.0,7.0,3.0,1.0,1.0,1.0,288.3723540001028,1.0,1.0,part_1,,,,,,,,,,,,,green,diamond
0.0,7.0,0.0,1.0,4.0,4.0,319.0514499999608,1.0,1.0,part_1,,,,,,,,,,,,,green,diamond
76.0,2.0,2.0,0.0,3.0,3.0,385.2783130000716,1.0,1.0,part_1,,,,,,,,,,,,,yellow,flipped triangle
38.0,5.0,1.0,1.0,2.0,2.0,531.0417149999012,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
0.0,1.0,0.0,0.0,2.0,2.0,430.6743750000805,1.0,1.0,part_1,,,,,,,,,,,,,blue,hexagon
209.0,3.0,3.0,0.0,3.0,3.0,402.15205100003,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
0.0,4.0,0.0,0.0,3.0,3.0,359.8680319998948,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
179.0,3.0,3.0,0.0,3.0,3.0,347.3636339999757,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
211.0,7.0,3.0,1.0,3.0,3.0,408.6589170001389,1.0,1.0,part_1,,,,,,,,,,,,,green,diamond
48.0,1.0,1.0,0.0,1.0,1.0,359.8119030000362,1.0,1.0,part_1,,,,,,,,,,,,,blue,hexagon
0.0,5.0,0.0,1.0,1.0,1.0,383.2124660000318,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
218.0,3.0,3.0,0.0,3.0,3.0,350.6247489999623,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
82.0,6.0,2.0,1.0,4.0,4.0,422.77811200006,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
72.0,1.0,1.0,0.0,1.0,1.0,349.9956990001465,1.0,1.0,part_1,,,,,,,,,,,,,blue,hexagon
