raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
30.0,1.0,1.0,0.0,2.0,2.0,383.4524650001185,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
0.0,2.0,0.0,0.0,1.0,1.0,450.7863460003136,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
179.0,7.0,3.0,1.0,2.0,2.0,479.1091120000601,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
211.0,7.0,3.0,1.0,3.0,3.0,367.135128999962,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
0.0,8.0,0.0,1.0,4.0,4.0,429.4155489997138,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,circle
406.0,4.0,4.0,0.0,4.0,4.0,421.1408059995847,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
116.0,2.0,2.0,0.0,4.0,4.0,422.2020639999755,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
0.0,8.0,0.0,1.0,1.0,1.0,362.0580840001821,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,circle
42.0,5.0,1.0,1.0,1.0,1.0,381.9226800001161,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,I
82.0,6.0,2.0,1.0,3.0,3.0,260.05328500014,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
109.0,2.0,2.0,0.0,4.0,4.0,276.4650610001808,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
51.0,1.0,1.0,0.0,2.0,2.0,302.860819000216,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
201.0,7.0,3.0,1.0,3.0,3.0,331.1877840001216,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
78.0,2.0,2.0,0.0,3.0,3.0,284.8893629998201,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
206.0,3.0,3.0,0.0,4.0,4.0,415.0124899997536,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
56.0,5.0,1.0,1.0,3.0,3.0,314.3334080000386,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,I
186.0,7.0,3.0,1.0,4.0,4.0,326.8612380002196,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
28.0,1.0,1.0,0.0,1.0,1.0,331.2774670002909,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
82.0,2.0,2.0,0.0,3.0,3.0,278.2629039998028,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
0.0,1.0,0.0,0.0,1.0,1.0,531.5244160001384,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
47.0,5.0,1.0,1.0,2.0,2.0,248.4934120002435,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,I
94.0,6.0,2.0,1.0,2.0,2.0,311.4891709997209,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
27.0,1.0,1.0,0.0,1.0,1.0,334.516875999725,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
91.0,6.0,2.0,1.0,2.0,2.0,250.44743199987352,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
93.0,2.0,2.0,0.0,4.0,4.0,378.8817170002403,1.0,2.0,phase_1,,,,,,,,,,,,,cyan,cross
0.0,6.0,0.0,1.0,1.0,1.0,408.1704999998692,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
411.0,8.0,4.0,1.0,4.0,4.0,341.2764460003927,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,circle
191.0,3.0,3.0,0.0,1.0,1.0,401.5564860001177,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
194.0,3.0,3.0,0.0,3.0,3.0,320.3105900001901,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
212.0,7.0,3.0,1.0,3.0,3.0,349.020401999951,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
0.0,4.0,0.0,0.0,3.0,3.0,377.8864629998679,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
379.0,4.0,4.0,0.0,1.0,1.0,339.9392220003392,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
216.0,3.0,3.0,0.0,3.0,3.0,358.2991620000939,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
420.0,4.0,4.0,0.0,2.0,2.0,326.9120559998555,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
409.0,4.0,4.0,0.0,1.0,1.0,343.1557649996648,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
102.0,2.0,2.0,0.0,3.0,3.0,336.4052859997173,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
61.0,1.0,1.0,0.0,3.0,3.0,331.7753869996522,1.0,2.0,phase_1,,,,,,,,,,,,,blue,diamond
105.0,6.0,2.0,1.0,1.0,1.0,336.7515079999066,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
398.0,8.0,4.0,1.0,4.0,4.0,328.5539010003049,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,circle
212.0,3.0,3.0,0.0,2.0,2.0,295.825677999801,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
71.0,1.0,1.0,0.0,3.0,3.0,361.018051999963,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
185.0,3.0,3.0,0.0,2.0,2.0,368.289834999814,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
395.0,8.0,4.0,1.0,4.0,4.0,373.5689549998824,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,circle
0.0,6.0,0.0,1.0,3.0,3.0,334.4639530000677,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,3.0,0.0,0.0,1.0,1.0,353.1307799999013,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
0.0,2.0,0.0,0.0,2.0,2.0,320.3451570002471,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
193.0,7.0,3.0,1.0,2.0,2.0,321.261259000039,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
53.0,1.0,1.0,0.0,1.0,1.0,333.5497699999905,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
0.0,2.0,0.0,0.0,3.0,3.0,331.4578140002595,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
213.0,3.0,3.0,0.0,4.0,4.0,339.7344760001033,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
0.0,4.0,0.0,0.0,2.0,2.0,287.0757149999008,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
409.0,8.0,4.0,1.0,2.0,2.0,336.6493240000636,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,circle
30.0,5.0,1.0,1.0,2.0,2.0,299.0071499998521,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,I
384.0,4.0,4.0,0.0,2.0,2.0,301.7451919999985,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
113.0,2.0,2.0,0.0,1.0,1.0,324.6157280000261,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
69.0,5.0,1.0,1.0,1.0,1.0,375.6680410001536,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,I
414.0,4.0,4.0,0.0,3.0,3.0,296.6881759998614,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
0.0,5.0,0.0,1.0,4.0,4.0,279.3697329998394,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,I
106.0,6.0,2.0,1.0,4.0,4.0,379.7777730001144,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
418.0,4.0,4.0,0.0,1.0,1.0,343.0871969999316,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
0.0,7.0,0.0,1.0,2.0,2.0,282.144469999821,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
30.0,1.0,1.0,0.0,3.0,3.0,390.7707299999856,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
64.0,1.0,1.0,0.0,1.0,1.0,335.93727500010567,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
79.0,2.0,2.0,0.0,2.0,2.0,280.2881620000335,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
72.0,1.0,1.0,0.0,3.0,3.0,303.7171430000853,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
189.0,3.0,3.0,0.0,1.0,1.0,349.787132000074,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
110.0,6.0,2.0,1.0,3.0,3.0,271.9532749997597,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
97.0,2.0,2.0,0.0,1.0,1.0,290.597040999728,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
74.0,5.0,1.0,1.0,4.0,4.0,349.9473639999451,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,I
403.0,8.0,4.0,1.0,2.0,2.0,356.9493640002292,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,circle
0.0,7.0,0.0,1.0,2.0,2.0,266.4546080000036,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
379.0,4.0,4.0,0.0,4.0,4.0,339.1779749999841,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
211.0,3.0,3.0,0.0,4.0,4.0,353.5231450000538,1.0,1.0,phase_1,,,,,,,,,,,,,orange,hexagon
0.0,2.0,0.0,0.0,3.0,3.0,341.3854149998769,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
380.0,4.0,4.0,0.0,3.0,3.0,322.3735350002243,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
0.0,6.0,0.0,1.0,4.0,4.0,318.3440319999135,1.0,2.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,1.0,0.0,0.0,1.0,1.0,288.2766540001285,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
28.0,5.0,1.0,1.0,2.0,2.0,397.810169999957,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,I
104.0,6.0,2.0,1.0,1.0,1.0,440.4189450001468,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,6.0,0.0,1.0,3.0,3.0,311.9773569997051,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
78.0,6.0,2.0,1.0,1.0,1.0,374.8582519997399,1.0,1.0,phase_1,,,,,,,,,,,,,gray,triangle
110.0,2.0,2.0,0.0,2.0,2.0,297.0890619999409,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
