raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,num_trial_presentations,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
98.0,2.0,2.0,0.0,1.0,1.0,331.1574540002766,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
32.0,5.0,1.0,1.0,3.0,3.0,309.4024999991234,1.0,1.0,part_1,,,,,,,,,,,,,green,I
55.0,1.0,1.0,0.0,2.0,2.0,289.5994770005927,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
179.0,3.0,3.0,0.0,2.0,2.0,329.5691669991356,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
92.0,6.0,2.0,1.0,1.0,1.0,328.0199119999452,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
390.0,4.0,4.0,0.0,1.0,1.0,296.9222360006824,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
220.0,3.0,3.0,0.0,3.0,3.0,298.0690290005441,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
46.0,5.0,1.0,1.0,4.0,4.0,318.945506000091,1.0,1.0,part_1,,,,,,,,,,,,,green,I
191.0,3.0,3.0,0.0,1.0,1.0,279.6297639997647,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
180.0,7.0,3.0,1.0,4.0,4.0,308.2885549993079,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
393.0,4.0,4.0,0.0,2.0,2.0,333.8439689996448,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
0.0,6.0,0.0,1.0,2.0,2.0,298.8932620010018,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
0.0,3.0,0.0,0.0,2.0,2.0,304.0034850000666,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.0,4.0,0.0,0.0,4.0,4.0,284.1259649994754,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
390.0,4.0,4.0,0.0,1.0,1.0,255.1074209986836,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
0.0,8.0,0.0,1.0,4.0,4.0,303.4496690015658,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
97.0,2.0,2.0,0.0,4.0,4.0,343.0961310004932,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
0.0,7.0,0.0,1.0,1.0,1.0,271.7732300006901,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
118.0,6.0,2.0,1.0,3.0,3.0,292.5666459996137,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
0.0,4.0,0.0,0.0,3.0,3.0,324.6257800001331,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
215.0,3.0,3.0,0.0,4.0,4.0,304.7886650001601,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
81.0,2.0,2.0,0.0,3.0,3.0,305.58547200053,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
220.0,7.0,3.0,1.0,2.0,2.0,326.4172109993524,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
119.0,2.0,2.0,0.0,4.0,4.0,285.8654609990481,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
176.0,3.0,3.0,0.0,2.0,2.0,337.8334369990625,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
180.0,3.0,3.0,0.0,1.0,1.0,250.9666580008343,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
87.0,6.0,2.0,1.0,3.0,3.0,323.7817400004132,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
398.0,8.0,4.0,1.0,4.0,4.0,286.4025849994505,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
68.0,1.0,1.0,0.0,3.0,3.0,335.665071999756,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
60.0,5.0,1.0,1.0,1.0,1.0,304.9584349992074,1.0,1.0,part_1,,,,,,,,,,,,,green,I
213.0,7.0,3.0,1.0,3.0,3.0,324.2570549991797,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
41.0,5.0,1.0,1.0,3.0,3.0,294.1234840000106,1.0,1.0,part_1,,,,,,,,,,,,,green,I
396.0,8.0,4.0,1.0,4.0,4.0,321.115311999165,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
401.0,4.0,4.0,0.0,4.0,4.0,319.10824499937,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
109.0,6.0,2.0,1.0,3.0,3.0,317.0241690004332,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
71.0,1.0,1.0,0.0,4.0,4.0,267.3507139988942,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
411.0,4.0,4.0,0.0,2.0,2.0,287.3806799998419,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
0.0,2.0,0.0,0.0,2.0,2.0,345.3732849993685,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
56.0,1.0,1.0,0.0,4.0,4.0,295.4875400009769,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
87.0,6.0,2.0,1.0,2.0,2.0,255.6046059999062,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
39.0,5.0,1.0,1.0,2.0,2.0,278.138666999439,1.0,1.0,part_1,,,,,,,,,,,,,green,I
409.0,4.0,4.0,0.0,1.0,1.0,291.3828300006571,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
201.0,3.0,3.0,0.0,3.0,3.0,298.2611440002074,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.0,4.0,0.0,0.0,3.0,3.0,321.0959150001145,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
52.0,1.0,1.0,0.0,2.0,2.0,255.5173949986056,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
0.0,5.0,0.0,1.0,1.0,1.0,228.1888210000033,1.0,1.0,part_1,,,,,,,,,,,,,green,I
407.0,4.0,4.0,0.0,1.0,1.0,317.5002780008071,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
47.0,5.0,1.0,1.0,2.0,2.0,279.6933139998145,1.0,1.0,part_1,,,,,,,,,,,,,green,I
109.0,2.0,2.0,0.0,3.0,3.0,275.2438980005536,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
408.0,8.0,4.0,1.0,4.0,4.0,353.2947989988315,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
180.0,3.0,3.0,0.0,1.0,1.0,243.2871640012308,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.0,3.0,0.0,0.0,1.0,1.0,319.3602390001615,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
188.0,7.0,3.0,1.0,4.0,4.0,305.0914450013806,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
41.0,5.0,1.0,1.0,2.0,2.0,356.4385029985715,1.0,1.0,part_1,,,,,,,,,,,,,green,I
413.0,4.0,4.0,0.0,2.0,2.0,290.3672820011707,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
378.0,8.0,4.0,1.0,2.0,2.0,283.0658629991376,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
92.0,6.0,2.0,1.0,4.0,4.0,285.5234489998111,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
122.0,2.0,2.0,0.0,1.0,1.0,316.3197810008569,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
52.0,5.0,1.0,1.0,3.0,3.0,293.6446149997209,1.0,1.0,part_1,,,,,,,,,,,,,green,I
60.0,1.0,1.0,0.0,1.0,1.0,281.8286530000478,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
32.0,1.0,1.0,0.0,3.0,3.0,377.5753249992704,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
196.0,7.0,3.0,1.0,1.0,1.0,261.9177619999391,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
211.0,3.0,3.0,0.0,1.0,1.0,378.5275230002298,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.0,8.0,0.0,1.0,3.0,3.0,301.1480049990496,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
219.0,7.0,3.0,1.0,3.0,3.0,317.0956410012877,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
393.0,8.0,4.0,1.0,3.0,3.0,374.7504910006682,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
412.0,4.0,4.0,0.0,2.0,2.0,305.8759850009664,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
219.0,3.0,3.0,0.0,4.0,4.0,319.7257819992956,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.0,6.0,0.0,1.0,2.0,2.0,294.6435579997342,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
176.0,7.0,3.0,1.0,2.0,2.0,315.7479540004715,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
408.0,8.0,4.0,1.0,3.0,3.0,385.6665580005938,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
420.0,8.0,4.0,1.0,2.0,2.0,265.1390169994556,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
37.0,5.0,1.0,1.0,1.0,1.0,297.513848001472,1.0,1.0,part_1,,,,,,,,,,,,,green,I
214.0,7.0,3.0,1.0,3.0,3.0,358.1046550007158,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
420.0,4.0,4.0,0.0,3.0,3.0,470.5495889993472,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
0.0,4.0,0.0,0.0,3.0,3.0,310.8883510012674,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
396.0,4.0,4.0,0.0,4.0,4.0,316.0114350012009,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
0.0,2.0,0.0,0.0,4.0,4.0,385.0569370006269,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
424.0,8.0,4.0,1.0,2.0,2.0,323.7270520003221,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
187.0,3.0,3.0,0.0,4.0,4.0,289.2578699993464,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
220.0,3.0,3.0,0.0,3.0,3.0,285.0888119992305,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
0.0,5.0,0.0,1.0,3.0,3.0,301.090386999931,1.0,1.0,part_1,,,,,,,,,,,,,green,I
184.0,3.0,3.0,0.0,4.0,4.0,380.1113320005242,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
124.0,2.0,2.0,0.0,2.0,2.0,357.2174399996584,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
180.0,7.0,3.0,1.0,2.0,2.0,316.6500099996483,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
107.0,6.0,2.0,1.0,2.0,2.0,298.2461850006075,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
378.0,4.0,4.0,0.0,3.0,3.0,365.9398079998937,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
0.0,4.0,0.0,0.0,3.0,3.0,362.342284000988,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
0.0,1.0,0.0,0.0,2.0,2.0,291.0998679999466,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
0.0,3.0,0.0,0.0,1.0,1.0,314.7425619990827,1.0,1.0,part_1,,,,,,,,,,,,,orange,flipped triangle
90.0,6.0,2.0,1.0,1.0,1.0,363.5016070002166,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
91.0,6.0,2.0,1.0,2.0,2.0,295.7983090000198,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
191.0,7.0,3.0,1.0,1.0,1.0,312.5446009998995,1.0,1.0,part_1,,,,,,,,,,,,,yellow,triangle
405.0,8.0,4.0,1.0,4.0,4.0,341.2284410005668,1.0,1.0,part_1,,,,,,,,,,,,,blue,circle
85.0,6.0,2.0,1.0,1.0,1.0,316.9208309991518,1.0,1.0,part_1,,,,,,,,,,,,,cyan,diamond
0.0,4.0,0.0,0.0,2.0,2.0,271.9983879997016,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
99.0,2.0,2.0,0.0,3.0,3.0,280.2407300005143,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
41.0,1.0,1.0,0.0,4.0,4.0,328.2954490005068,1.0,1.0,part_1,,,,,,,,,,,,,white,hexagon
404.0,4.0,4.0,0.0,2.0,2.0,297.37768799896,1.0,1.0,part_1,,,,,,,,,,,,,gray,cross
