VALUE_LEVEL,STOP_CONDITION,mean,std
L,No stop,3.063636363636364,0.8488494887466531
L,Stop,2.536363636363636,1.104782989797297
LM,No stop,3.5818181818181816,0.8658154327778893
LM,Stop,3.1818181818181817,0.9631388080834266
HM,No stop,3.3818181818181823,1.1822167160196828
HM,Stop,3.9,0.8637129152675673
H,No stop,4.463636363636364,0.8891262309399348
H,Stop,4.536363636363636,0.9871906880362347
