Location,Go RT (ms),Go RT Stop shapes (ms),Go RT Non-Stop Shapes (ms),Stop-Failure RT (ms),p(resp|signal),SSRT (ms)
DR1,608 (94),616 (93),605 (94),530 (87),0.45 (0.05),195 (48)
DR2,578 (67),584 (68),577 (67),467 (57),0.46 (0.04),152 (23)
