Location,Go RT (ms),Go RT Stop shapes (ms),Go RT Non-Stop Shapes (ms),Stop-Failure RT (ms),p(resp|signal),SSRT (ms)
DR1,607,624,604,539,0.44,190
DR2,574,639,558,502,0.45,160
