response,reaction_time,block,which_phase,stim,stop_signal_trial_type,stop_signal_stimulus,SSD,SSD_type,condition,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
1,532.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,799.0,1,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
2,707.0,1,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
2,649.0,1,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,421.0,1,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,498.0,1,phase_2,purple_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,purple_rhombus,stop,red,250.0,tracking-SSD,go-1,4,,,,,,
0,0,1,phase_2,purple_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,458.0,1,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,354.0,1,phase_2,green_circle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,1,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,395.0,1,phase_2,purple_circle,go,,,,go-1,1,,,,,,
1,495.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,357.0,1,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,355.0,1,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,1,phase_2,green_circle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,573.0,1,phase_2,green_circle,stop,red,300.0,tracking-SSD,go-2,3,,,,,,
1,503.0,1,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,478.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,374.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,507.0,1,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
2,527.0,1,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,603.0,1,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
2,590.0,1,phase_2,green_pentagon,go,,,,go-2,2,,,,,,
1,565.0,1,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
1,405.0,1,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
2,629.0,1,phase_2,purple_rhombus,stop,red,250.0,tracking-SSD,go-1,3,,,,,,
0,0,1,phase_2,green_circle,stop,red,200.0,tracking-SSD,go-2,4,,,,,,
1,961.0,1,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,453.0,1,phase_2,purple_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,purple_triangle,stop,red,250.0,tracking-SSD,go-1,4,,,,,,
0,0,1,phase_2,green_rhombus,stop,red,300.0,tracking-SSD,go-2,4,,,,,,
2,401.0,1,phase_2,purple_rhombus,stop,red,350.0,tracking-SSD,go-1,3,,,,,,
0,0,1,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,532.0,1,phase_2,green_circle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,green_triangle,stop,red,300.0,tracking-SSD,go-2,4,,,,,,
1,753.0,1,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,346.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,580.0,1,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
0,0,1,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,666.0,1,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,720.0,1,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,392.0,1,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
1,366.0,1,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
0,0,1,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,384.0,1,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
2,431.0,2,phase_2,purple_circle,go,,,,go-1,1,,,,,,
0,0,2,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,438.0,2,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,414.0,2,phase_2,green_circle,stop,red,350.0,tracking-SSD,go-2,3,,,,,,
1,559.0,2,phase_2,green_rhombus,go,,,,go-2,2,,,,,,
2,343.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,565.0,2,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
0,0,2,phase_2,purple_triangle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,347.0,2,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,367.0,2,phase_2,purple_triangle,stop,red,300.0,tracking-SSD,go-1,3,,,,,,
1,702.0,2,phase_2,green_pentagon,stop,red,250.0,tracking-SSD,go-2,3,,,,,,
1,578.0,2,phase_2,green_rhombus,go,,,,go-2,2,,,,,,
2,473.0,2,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,381.0,2,phase_2,green_pentagon,stop,red,200.0,tracking-SSD,go-2,3,,,,,,
1,605.0,2,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,422.0,2,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,419.0,2,phase_2,purple_pentagon,stop,red,150.0,tracking-SSD,go-1,3,,,,,,
2,462.0,2,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,505.0,2,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
2,459.0,2,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,479.0,2,phase_2,purple_circle,go,,,,go-1,1,,,,,,
0,0,2,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,463.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
2,381.0,2,phase_2,purple_triangle,go,,,,go-1,2,,,,,,
0,0,2,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,523.0,2,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,565.0,2,phase_2,green_circle,go,,,,go-2,1,,,,,,
1,518.0,2,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
0,0,2,phase_2,purple_pentagon,stop,red,100.0,tracking-SSD,go-1,4,,,,,,
2,963.0,2,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,488.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,688.0,2,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
1,506.0,2,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,358.0,2,phase_2,green_triangle,stop,red,150.0,tracking-SSD,go-2,3,,,,,,
2,636.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,500.0,2,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,351.0,2,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,485.0,2,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
2,450.0,2,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,605.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
0,0,2,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,2,phase_2,purple_triangle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,542.0,2,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
2,528.0,2,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,571.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
0,0,2,phase_2,purple_pentagon,stop,red,100.0,tracking-SSD,go-1,4,,,,,,
0,0,2,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,2,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,510.0,3,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,743.0,3,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
0,0,3,phase_2,purple_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,357.0,3,phase_2,green_triangle,stop,red,150.0,tracking-SSD,go-2,3,,,,,,
2,480.0,3,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,658.0,3,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
0,0,3,phase_2,purple_circle,stop,red,100.0,tracking-SSD,go-1,4,,,,,,
1,619.0,3,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,526.0,3,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
2,468.0,3,phase_2,green_circle,go,,,,go-2,1,,,,,,
1,477.0,3,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,384.0,3,phase_2,green_triangle,go,,,,go-2,1,,,,,,
0,0,3,phase_2,purple_rhombus,stop,red,150.0,tracking-SSD,go-1,4,,,,,,
2,358.0,3,phase_2,green_pentagon,go,,,,go-2,2,,,,,,
1,560.0,3,phase_2,purple_triangle,stop,red,200.0,tracking-SSD,go-1,3,,,,,,
0,0,3,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,531.0,3,phase_2,green_triangle,go,,,,go-2,1,,,,,,
0,0,3,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,515.0,3,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,660.0,3,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
0,0,3,phase_2,green_triangle,stop,red,150.0,tracking-SSD,go-2,4,,,,,,
1,803.0,3,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
0,0,3,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,3,phase_2,green_circle,stop,red,200.0,tracking-SSD,go-2,4,,,,,,
2,661.0,3,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,671.0,3,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
2,399.0,3,phase_2,green_rhombus,stop,red,250.0,tracking-SSD,go-2,3,,,,,,
0,0,3,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,721.0,3,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
2,550.0,3,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,490.0,3,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
0,0,3,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,553.0,3,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,461.0,3,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,437.0,3,phase_2,purple_pentagon,stop,red,200.0,tracking-SSD,go-1,3,,,,,,
1,625.0,3,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,600.0,3,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,509.0,3,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,372.0,3,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,641.0,3,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
1,469.0,3,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,512.0,3,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
0,0,3,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,564.0,3,phase_2,green_triangle,go,,,,go-2,1,,,,,,
0,0,3,phase_2,green_circle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,447.0,3,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,422.0,3,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,329.0,3,phase_2,purple_circle,go,,,,go-1,1,,,,,,
1,589.0,4,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
2,441.0,4,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
1,484.0,4,phase_2,green_triangle,go,,,,go-2,1,,,,,,
0,0,4,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,367.0,4,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,510.0,4,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,396.0,4,phase_2,green_circle,go,,,,go-2,1,,,,,,
1,472.0,4,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
1,379.0,4,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,345.0,4,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
2,647.0,4,phase_2,green_pentagon,go,,,,go-2,2,,,,,,
0,0,4,phase_2,purple_rhombus,stop,red,150.0,tracking-SSD,go-1,4,,,,,,
2,507.0,4,phase_2,green_circle,go,,,,go-2,1,,,,,,
1,786.0,4,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
2,729.0,4,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,760.0,4,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,500.0,4,phase_2,purple_circle,go,,,,go-1,1,,,,,,
1,486.0,4,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,730.0,4,phase_2,green_pentagon,stop,red,200.0,tracking-SSD,go-2,3,,,,,,
1,493.0,4,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
0,0,4,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,712.0,4,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
1,620.0,4,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,348.0,4,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,526.0,4,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,625.0,4,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
0,0,4,phase_2,purple_rhombus,stop,red,150.0,tracking-SSD,go-1,4,,,,,,
0,0,4,phase_2,green_rhombus,stop,red,200.0,tracking-SSD,go-2,4,,,,,,
1,440.0,4,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
2,460.0,4,phase_2,purple_circle,go,,,,go-1,1,,,,,,
0,0,4,phase_2,purple_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
0,0,4,phase_2,green_pentagon,go,,,,go-2,2,,,,,,
2,678.0,4,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,721.0,4,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
0,0,4,phase_2,green_circle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,493.0,4,phase_2,green_triangle,stop,red,250.0,tracking-SSD,go-2,3,,,,,,
0,0,4,phase_2,green_circle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,511.0,4,phase_2,green_circle,stop,red,200.0,tracking-SSD,go-2,3,,,,,,
1,463.0,4,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,730.0,4,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,526.0,4,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
0,0,4,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
0,0,4,phase_2,green_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,4,phase_2,purple_circle,stop,red,150.0,tracking-SSD,go-1,4,,,,,,
0,0,4,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,472.0,4,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,367.0,4,phase_2,purple_circle,stop,red,200.0,tracking-SSD,go-1,3,,,,,,
2,455.0,4,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,420.0,5,phase_2,purple_circle,go,,,,go-1,1,,,,,,
1,463.0,5,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
1,539.0,5,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,391.0,5,phase_2,green_circle,stop,red,150.0,tracking-SSD,go-2,3,,,,,,
2,378.0,5,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,443.0,5,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,294.0,5,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
1,540.0,5,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
2,517.0,5,phase_2,purple_circle,go,,,,go-1,1,,,,,,
1,491.0,5,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
0,0,5,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,543.0,5,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,394.0,5,phase_2,purple_circle,go,,,,go-1,1,,,,,,
1,426.0,5,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,356.0,5,phase_2,green_circle,go,,,,go-2,1,,,,,,
0,0,5,phase_2,green_pentagon,stop,red,100.0,tracking-SSD,go-2,4,,,,,,
1,510.0,5,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
2,451.0,5,phase_2,green_pentagon,go,,,,go-2,2,,,,,,
1,483.0,5,phase_2,green_rhombus,go,,,,go-2,2,,,,,,
0,0,5,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,445.0,5,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,521.0,5,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,532.0,5,phase_2,green_circle,go,,,,go-2,1,,,,,,
0,0,5,phase_2,green_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,470.0,5,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,682.0,5,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
0,0,5,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
0,0,5,phase_2,purple_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,471.0,5,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,503.0,5,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
1,625.0,5,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
0,0,5,phase_2,green_pentagon,stop,red,150.0,tracking-SSD,go-2,4,,,,,,
1,642.0,5,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
0,0,5,phase_2,green_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,5,phase_2,purple_triangle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,479.0,5,phase_2,green_circle,stop,red,200.0,tracking-SSD,go-2,3,,,,,,
2,442.0,5,phase_2,purple_circle,go,,,,go-1,1,,,,,,
1,474.0,5,phase_2,green_triangle,go,,,,go-2,1,,,,,,
0,0,5,phase_2,purple_pentagon,stop,red,150.0,tracking-SSD,go-1,4,,,,,,
1,424.0,5,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,388.0,5,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,340.0,5,phase_2,purple_triangle,stop,red,200.0,tracking-SSD,go-1,3,,,,,,
1,338.0,5,phase_2,purple_triangle,stop,red,150.0,tracking-SSD,go-1,3,,,,,,
1,369.0,5,phase_2,green_rhombus,go,,,,go-2,2,,,,,,
0,0,5,phase_2,purple_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,611.0,5,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
0,0,5,phase_2,purple_triangle,stop,red,100.0,tracking-SSD,go-1,4,,,,,,
2,618.0,5,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
0,0,6,phase_2,purple_triangle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,633.0,6,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
2,518.0,6,phase_2,purple_rhombus,stop,red,150.0,tracking-SSD,go-1,3,,,,,,
0,0,6,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,626.0,6,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
2,465.0,6,phase_2,purple_circle,go,,,,go-1,1,,,,,,
1,384.0,6,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
2,471.0,6,phase_2,green_pentagon,go,,,,go-2,2,,,,,,
1,558.0,6,phase_2,green_pentagon,stop,red,100.0,tracking-SSD,go-2,3,,,,,,
2,636.0,6,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,599.0,6,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,395.0,6,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
0,0,6,phase_2,purple_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,367.0,6,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
0,0,6,phase_2,purple_rhombus,stop,red,50.0,tracking-SSD,go-1,4,,,,,,
1,555.0,6,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,496.0,6,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
1,539.0,6,phase_2,purple_pentagon,go,,,,go-1,1,,,,,,
2,401.0,6,phase_2,purple_circle,go,,,,go-1,1,,,,,,
0,0,6,phase_2,green_circle,stop,red,100.0,tracking-SSD,go-2,4,,,,,,
2,520.0,6,phase_2,green_circle,go,,,,go-2,1,,,,,,
0,0,6,phase_2,green_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,360.0,6,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,583.0,6,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
0,0,6,phase_2,purple_rhombus,stop,red,150.0,tracking-SSD,go-1,4,,,,,,
1,567.0,6,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,553.0,6,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,450.0,6,phase_2,green_circle,go,,,,go-2,1,,,,,,
1,470.0,6,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
0,0,6,phase_2,green_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,466.0,6,phase_2,green_circle,go,,,,go-2,1,,,,,,
1,464.0,6,phase_2,purple_triangle,stop,red,200.0,tracking-SSD,go-1,3,,,,,,
1,665.0,6,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
1,515.0,6,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
0,0,6,phase_2,green_triangle,stop,red,150.0,tracking-SSD,go-2,4,,,,,,
0,0,6,phase_2,green_circle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,735.0,6,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
2,644.0,6,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
0,0,6,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
