response,reaction_time,block,which_phase,stim,stop_signal_trial_type,stop_signal_stimulus,SSD,SSD_type,condition,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
2,486.0,1,phase_2,red_rhombus,stop,blue,0.0,0-SSD,go-2,3,,,,,,
2,349.0,1,phase_2,red_triangle,stop,green,250.0,tracking-SSD,go-2,3,,,,,,
2,482.0,1,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
1,468.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
1,375.0,1,phase_2,purple_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,red_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,316.0,1,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,303.0,1,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,3,,,,,,
1,412.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
2,387.0,1,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
1,690.0,1,phase_2,red_pentagon,go,,,,go-2,1,,,,,,
0,0,1,phase_2,red_circle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,359.0,1,phase_2,red_triangle,go,,,,go-2,2,,,,,,
2,324.0,1,phase_2,red_triangle,stop,green,200.0,tracking-SSD,go-2,3,,,,,,
1,512.0,1,phase_2,purple_circle,go,,,,go-1,1,,,,,,
2,442.0,1,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
1,429.0,1,phase_2,purple_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,300.0,1,phase_2,purple_pentagon,stop,green,150.0,tracking-SSD,go-1,3,,,,,,
0,0,1,phase_2,red_circle,stop,green,100.0,tracking-SSD,go-2,4,,,,,,
2,452.0,1,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
2,417.0,1,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,380.0,1,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
1,468.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,red_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,361.0,1,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
2,393.0,1,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
1,412.0,1,phase_2,purple_triangle,go,,,,go-1,2,,,,,,
0,0,1,phase_2,purple_triangle,stop,green,150.0,tracking-SSD,go-1,4,,,,,,
2,408.0,1,phase_2,red_triangle,go,,,,go-2,1,,,,,,
2,506.0,1,phase_2,purple_circle,go,,,,go-1,2,,,,,,
2,493.0,1,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
2,512.0,1,phase_2,red_pentagon,go,,,,go-2,2,,,,,,
0,0,1,phase_2,purple_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,327.0,1,phase_2,purple_circle,go,,,,go-1,2,,,,,,
1,438.0,1,phase_2,purple_triangle,go,,,,go-1,2,,,,,,
2,435.0,1,phase_2,red_pentagon,go,,,,go-2,2,,,,,,
2,612.0,1,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
2,654.0,1,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
2,327.0,1,phase_2,red_triangle,stop,green,200.0,tracking-SSD,go-2,3,,,,,,
0,0,1,phase_2,purple_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,366.0,1,phase_2,red_rhombus,go,,,,go-2,2,,,,,,
2,329.0,1,phase_2,purple_rhombus,stop,green,150.0,tracking-SSD,go-1,3,,,,,,
2,406.0,1,phase_2,red_pentagon,go,,,,go-2,2,,,,,,
1,459.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,purple_rhombus,stop,green,100.0,tracking-SSD,go-1,4,,,,,,
2,321.0,1,phase_2,purple_pentagon,go,,,,go-1,2,,,,,,
2,410.0,1,phase_2,red_triangle,go,,,,go-2,1,,,,,,
2,330.0,2,phase_2,purple_rhombus,go,,,,go-1,1,,,,,,
0,0,2,phase_2,purple_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,327.0,2,phase_2,red_circle,go,,,,go-2,2,,,,,,
1,381.0,2,phase_2,purple_rhombus,go,,,,go-1,2,,,,,,
2,457.0,2,phase_2,red_pentagon,stop,green,150.0,tracking-SSD,go-2,3,,,,,,
2,343.0,2,phase_2,purple_triangle,go,,,,go-1,1,,,,,,
2,375.0,2,phase_2,red_pentagon,go,,,,go-2,2,,,,,,
