response,reaction_time,block,which_phase,stim,stop_signal_trial_type,stop_signal_stimulus,SSD,SSD_type,condition,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
2,556.0,1,phase_2,purple_rhombus,go,,,,go-2,1,,,,,,
1,606.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
1,551.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
2,484.0,1,phase_2,purple_circle,go,,,,go-2,1,,,,,,
2,543.0,1,phase_2,green_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,green_circle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
0,0,1,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
0,0,1,phase_2,purple_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,571.0,1,phase_2,purple_circle,stop,red,250.0,tracking-SSD,go-2,3,,,,,,
1,583.0,1,phase_2,purple_triangle,go,,,,go-2,1,,,,,,
2,898.0,1,phase_2,green_rhombus,go,,,,go-1,1,,,,,,
0,0,1,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,472.0,1,phase_2,green_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,purple_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,591.0,1,phase_2,purple_rhombus,go,,,,go-2,2,,,,,,
0,0,1,phase_2,green_rhombus,stop,red,200.0,tracking-SSD,go-1,4,,,,,,
2,629.0,1,phase_2,green_rhombus,go,,,,go-1,1,,,,,,
1,616.0,1,phase_2,purple_pentagon,stop,red,250.0,tracking-SSD,go-2,3,,,,,,
1,697.0,1,phase_2,green_triangle,go,,,,go-1,1,,,,,,
1,600.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
0,0,1,phase_2,green_pentagon,stop,red,200.0,tracking-SSD,go-1,4,,,,,,
1,612.0,1,phase_2,purple_pentagon,go,,,,go-2,1,,,,,,
1,479.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
1,644.0,1,phase_2,green_triangle,go,,,,go-1,1,,,,,,
2,806.0,1,phase_2,green_circle,go,,,,go-1,1,,,,,,
1,586.0,1,phase_2,green_triangle,go,,,,go-1,1,,,,,,
1,597.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
2,552.0,1,phase_2,purple_circle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,purple_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,1,phase_2,purple_circle,stop,red,250.0,tracking-SSD,go-2,4,,,,,,
2,666.0,1,phase_2,purple_rhombus,go,,,,go-2,1,,,,,,
2,509.0,1,phase_2,green_circle,go,,,,go-1,1,,,,,,
1,678.0,1,phase_2,green_triangle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
0,0,1,phase_2,purple_triangle,stop,red,300.0,tracking-SSD,go-2,4,,,,,,
2,703.0,1,phase_2,purple_rhombus,go,,,,go-2,1,,,,,,
2,400.0,1,phase_2,green_circle,stop,red,350.0,tracking-SSD,go-1,3,,,,,,
1,518.0,1,phase_2,purple_triangle,go,,,,go-2,1,,,,,,
1,417.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
2,469.0,1,phase_2,purple_circle,go,,,,go-2,1,,,,,,
1,536.0,1,phase_2,purple_pentagon,go,,,,go-2,1,,,,,,
0,0,1,phase_2,purple_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,1,phase_2,green_rhombus,stop,red,300.0,tracking-SSD,go-1,4,,,,,,
2,729.0,1,phase_2,purple_rhombus,go,,,,go-2,1,,,,,,
