response,reaction_time,block,which_phase,stim,stop_signal_trial_type,stop_signal_stimulus,SSD,SSD_type,condition,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
2,476.0,1,phase_2,red_triangle,go,,,,go-2,1,,,,,,
2,473.0,1,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
2,381.0,1,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
2,435.0,1,phase_2,red_triangle,go,,,,go-2,1,,,,,,
2,411.0,1,phase_2,red_triangle,go,,,,go-2,1,,,,,,
2,422.0,1,phase_2,red_triangle,go,,,,go-2,1,,,,,,
1,531.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
1,395.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
2,504.0,1,phase_2,green_rhombus,go,,,,go-1,1,,,,,,
1,603.0,1,phase_2,red_pentagon,go,,,,go-2,1,,,,,,
1,580.0,1,phase_2,green_circle,go,,,,go-1,1,,,,,,
1,477.0,1,phase_2,green_circle,go,,,,go-1,1,,,,,,
1,453.0,1,phase_2,green_rhombus,stop,purple,250.0,tracking-SSD,go-1,3,,,,,,
0,0,1,phase_2,red_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,560.0,1,phase_2,green_pentagon,go,,,,go-1,2,,,,,,
1,534.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
1,577.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
1,530.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,red_circle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,434.0,1,phase_2,red_triangle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,530.0,1,phase_2,green_rhombus,go,,,,go-1,1,,,,,,
2,473.0,1,phase_2,green_pentagon,go,,,,go-1,2,,,,,,
1,548.0,1,phase_2,green_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,red_rhombus,stop,purple,200.0,tracking-SSD,go-2,4,,,,,,
1,566.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,green_pentagon,stop,purple,250.0,tracking-SSD,go-1,4,,,,,,
2,584.0,1,phase_2,green_triangle,go,,,,go-1,1,,,,,,
1,649.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
2,500.0,1,phase_2,green_triangle,go,,,,go-1,1,,,,,,
2,666.0,1,phase_2,red_rhombus,stop,purple,300.0,tracking-SSD,go-2,3,,,,,,
0,0,1,phase_2,red_circle,stop,purple,250.0,tracking-SSD,go-2,4,,,,,,
2,573.0,1,phase_2,green_rhombus,go,,,,go-1,1,,,,,,
0,0,1,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
0,0,1,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,599.0,1,phase_2,red_circle,go,,,,go-2,1,,,,,,
2,574.0,1,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
2,493.0,1,phase_2,green_triangle,go,,,,go-1,1,,,,,,
2,400.0,1,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
0,0,1,phase_2,red_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,542.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
2,471.0,1,phase_2,green_triangle,stop,purple,300.0,tracking-SSD,go-1,3,,,,,,
0,0,1,phase_2,red_triangle,stop,purple,250.0,tracking-SSD,go-2,4,,,,,,
0,0,1,phase_2,green_pentagon,stop,purple,300.0,tracking-SSD,go-1,4,,,,,,
0,0,1,phase_2,red_circle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,562.0,1,phase_2,green_pentagon,go,,,,go-1,2,,,,,,
0,0,1,phase_2,green_triangle,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,523.0,1,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
2,588.0,2,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
2,441.0,2,phase_2,green_triangle,go,,,,go-1,1,,,,,,
1,539.0,2,phase_2,red_circle,go,,,,go-2,1,,,,,,
2,661.0,2,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
1,669.0,2,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
1,577.0,2,phase_2,green_circle,go,,,,go-1,1,,,,,,
0,0,2,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,663.0,2,phase_2,red_pentagon,go,,,,go-2,1,,,,,,
1,685.0,2,phase_2,red_circle,stop,purple,350.0,tracking-SSD,go-2,3,,,,,,
0,0,2,phase_2,red_pentagon,go,,,,go-2,2,,,,,,
2,523.0,2,phase_2,red_triangle,go,,,,go-2,1,,,,,,
1,644.0,2,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
1,697.0,2,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
2,571.0,2,phase_2,red_triangle,go,,,,go-2,1,,,,,,
0,0,2,phase_2,red_pentagon,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,702.0,2,phase_2,green_circle,go,,,,go-1,1,,,,,,
1,496.0,2,phase_2,red_circle,stop,purple,300.0,tracking-SSD,go-2,3,,,,,,
2,572.0,2,phase_2,red_triangle,go,,,,go-2,1,,,,,,
2,479.0,2,phase_2,green_triangle,go,,,,go-1,1,,,,,,
0,0,2,phase_2,green_circle,stop,purple,250.0,tracking-SSD,go-1,4,,,,,,
2,655.0,2,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
0,0,2,phase_2,green_rhombus,stop,purple,300.0,tracking-SSD,go-1,4,,,,,,
2,537.0,2,phase_2,green_triangle,go,,,,go-1,1,,,,,,
2,500.0,2,phase_2,red_triangle,go,,,,go-2,1,,,,,,
1,622.0,2,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
0,0,2,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,585.0,2,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
0,0,2,phase_2,red_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
1,590.0,2,phase_2,red_pentagon,go,,,,go-2,1,,,,,,
0,0,2,phase_2,red_triangle,stop,blue,0.0,0-SSD,go-2,4,,,,,,
0,0,2,phase_2,green_rhombus,stop,blue,0.0,0-SSD,go-1,4,,,,,,
2,483.0,2,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
1,661.0,2,phase_2,green_pentagon,stop,purple,350.0,tracking-SSD,go-1,3,,,,,,
1,950.0,2,phase_2,green_circle,go,,,,go-1,1,,,,,,
2,498.0,2,phase_2,green_triangle,go,,,,go-1,1,,,,,,
1,472.0,2,phase_2,green_circle,go,,,,go-1,1,,,,,,
0,0,2,phase_2,red_rhombus,stop,blue,0.0,0-SSD,go-2,4,,,,,,
2,469.0,2,phase_2,green_triangle,go,,,,go-1,1,,,,,,
2,387.0,2,phase_2,green_triangle,stop,purple,300.0,tracking-SSD,go-1,3,,,,,,
1,520.0,2,phase_2,red_circle,go,,,,go-2,1,,,,,,
1,665.0,2,phase_2,green_circle,go,,,,go-1,1,,,,,,
2,538.0,2,phase_2,red_rhombus,go,,,,go-2,1,,,,,,
1,716.0,2,phase_2,green_pentagon,go,,,,go-1,1,,,,,,
0,0,2,phase_2,green_pentagon,stop,blue,0.0,0-SSD,go-1,4,,,,,,
1,508.0,2,phase_2,green_circle,go,,,,go-1,1,,,,,,
2,449.0,2,phase_2,red_triangle,stop,purple,250.0,tracking-SSD,go-2,3,,,,,,
0,0,2,phase_2,red_circle,stop,purple,200.0,tracking-SSD,go-2,4,,,,,,
1,637.0,2,phase_2,red_pentagon,go,,,,go-2,1,,,,,,
